project_id,snapshot_date,pending_parcels,completed_parcels,average_stage_days,sla_breaches,compensation_pending,rr_pending,possession_pending,processing_rate,data_source
PRJ-011,2024-07-01,33,6,65.7,16,9,8,7,0.08,synthetic
PRJ-011,2024-07-16,33,6,32.5,13,13,13,3,0.094,synthetic
PRJ-011,2024-07-31,34,5,66.9,9,13,8,3,0.088,synthetic
PRJ-011,2024-08-15,34,5,65.9,9,6,5,7,0.099,synthetic
PRJ-011,2024-08-30,35,4,16.0,8,24,5,4,0.109,synthetic
PRJ-011,2024-09-14,36,3,20.2,14,8,13,3,0.111,synthetic
PRJ-011,2024-09-29,38,1,86.6,22,25,7,6,0.112,synthetic
PRJ-011,2024-10-14,37,2,47.3,7,25,9,10,0.127,synthetic
PRJ-011,2024-10-29,37,2,26.9,7,13,7,4,0.116,synthetic
PRJ-011,2024-11-13,38,1,46.8,9,10,5,9,0.148,synthetic
PRJ-011,2024-11-28,38,1,79.3,18,12,6,7,0.128,synthetic
PRJ-011,2024-12-13,38,1,58.0,12,15,5,10,0.129,synthetic
PRJ-011,2024-12-28,38,1,29.0,21,20,9,11,0.111,synthetic
PRJ-011,2025-01-12,38,1,31.0,11,19,6,5,0.113,synthetic
PRJ-011,2025-01-27,38,1,19.7,8,23,15,8,0.101,synthetic
PRJ-011,2025-02-11,38,1,31.0,21,12,8,10,0.123,synthetic
PRJ-011,2025-02-26,38,1,19.1,13,22,6,8,0.105,synthetic
PRJ-011,2025-03-13,38,1,67.6,19,17,11,6,0.065,synthetic
PRJ-011,2025-03-28,38,1,21.0,20,8,4,4,0.074,synthetic
PRJ-011,2025-04-12,38,1,69.1,14,15,8,4,0.049,synthetic
PRJ-011,2025-04-27,38,1,47.8,10,24,7,6,0.066,synthetic
PRJ-011,2025-05-12,38,1,89.5,12,15,11,8,0.056,synthetic
PRJ-011,2025-05-27,38,1,55.4,14,10,10,8,0.071,synthetic
PRJ-011,2025-06-11,38,1,54.8,8,9,12,6,0.093,synthetic
PRJ-011,2025-06-26,38,1,70.2,16,16,9,10,0.064,synthetic
PRJ-011,2025-07-11,38,1,69.9,11,15,4,8,0.033,synthetic
PRJ-011,2025-07-26,38,1,35.0,20,14,10,4,0.042,synthetic
PRJ-011,2025-08-10,38,1,32.8,13,21,10,7,0.052,synthetic
PRJ-011,2025-08-25,38,1,33.1,6,15,8,7,0.058,synthetic
PRJ-013,2024-06-01,74,24,23.2,11,43,25,14,0.078,synthetic
PRJ-013,2024-06-16,79,19,61.5,15,18,30,14,0.098,synthetic
PRJ-013,2024-07-01,83,15,70.3,9,40,30,19,0.102,synthetic
PRJ-013,2024-07-16,84,14,74.6,17,47,26,21,0.146,synthetic
PRJ-013,2024-07-31,86,12,66.4,18,43,14,18,0.189,synthetic
PRJ-013,2024-08-15,88,10,31.0,20,24,16,9,0.209,synthetic
PRJ-013,2024-08-30,91,7,80.5,36,57,34,18,0.179,synthetic
PRJ-013,2024-09-14,92,6,50.9,40,44,28,11,0.157,synthetic
PRJ-013,2024-09-29,93,5,16.4,13,39,33,14,0.16,synthetic
PRJ-013,2024-10-14,93,5,74.2,40,22,34,22,0.166,synthetic
PRJ-013,2024-10-29,96,2,88.3,19,36,17,10,0.164,synthetic
PRJ-013,2024-11-13,96,2,34.5,43,47,19,13,0.164,synthetic
PRJ-013,2024-11-28,96,2,63.9,55,38,14,21,0.195,synthetic
PRJ-013,2024-12-13,96,2,68.5,44,65,12,11,0.196,synthetic
PRJ-013,2024-12-28,96,2,76.9,16,47,25,14,0.179,synthetic
PRJ-013,2025-01-12,96,2,82.8,55,19,35,27,0.198,synthetic
PRJ-013,2025-01-27,96,2,89.5,45,27,14,10,0.196,synthetic
PRJ-013,2025-02-11,96,2,31.8,41,64,23,16,0.202,synthetic
PRJ-013,2025-02-26,96,2,43.8,14,22,12,14,0.225,synthetic
PRJ-013,2025-03-13,96,2,59.1,54,48,25,15,0.217,synthetic
PRJ-013,2025-03-28,96,2,39.9,13,20,31,13,0.202,synthetic
PRJ-013,2025-04-12,96,2,21.1,38,66,24,17,0.204,synthetic
PRJ-013,2025-04-27,96,2,70.5,34,38,11,13,0.213,synthetic
PRJ-013,2025-05-12,96,2,64.2,16,49,22,16,0.199,synthetic
PRJ-013,2025-05-27,96,2,18.2,14,66,31,10,0.187,synthetic
PRJ-013,2025-06-11,95,3,87.5,30,54,34,25,0.209,synthetic
PRJ-013,2025-06-26,96,2,53.4,52,19,33,22,0.189,synthetic
PRJ-013,2025-07-11,96,2,38.0,33,39,12,10,0.193,synthetic
PRJ-013,2025-07-26,96,2,36.2,27,23,31,17,0.169,synthetic
PRJ-013,2025-08-10,94,4,32.5,42,35,34,15,0.183,synthetic
PRJ-013,2025-08-25,95,3,81.8,21,53,30,10,0.204,synthetic
PRJ-015,2024-06-01,40,34,37.6,6,9,12,7,0.128,synthetic
PRJ-015,2024-06-16,36,38,85.4,13,23,11,10,0.108,synthetic
PRJ-015,2024-07-01,32,42,89.4,14,10,12,7,0.129,synthetic
PRJ-015,2024-07-16,29,45,46.8,10,12,7,6,0.146,synthetic
PRJ-015,2024-07-31,26,48,26.0,13,13,5,6,0.143,synthetic
PRJ-015,2024-08-15,24,50,36.0,3,8,3,4,0.135,synthetic
PRJ-015,2024-08-30,20,54,37.8,8,13,5,3,0.121,synthetic
PRJ-015,2024-09-14,15,59,46.3,7,6,3,3,0.129,synthetic
PRJ-015,2024-09-29,14,60,40.6,7,7,2,2,0.147,synthetic
PRJ-015,2024-10-14,10,64,83.0,5,3,2,1,0.137,synthetic
PRJ-015,2024-10-29,6,68,19.2,1,3,1,0,0.16,synthetic
PRJ-015,2024-11-13,3,71,29.7,0,1,1,0,0.156,synthetic
PRJ-015,2024-11-28,3,71,23.3,0,1,0,0,0.162,synthetic
PRJ-015,2024-12-13,3,71,20.0,1,1,1,0,0.183,synthetic
PRJ-015,2024-12-28,3,71,30.6,0,1,1,0,0.169,synthetic
PRJ-015,2025-01-12,3,71,47.4,1,1,1,0,0.153,synthetic
PRJ-015,2025-01-27,3,71,80.6,0,1,0,0,0.163,synthetic
PRJ-015,2025-02-11,3,71,76.0,0,0,1,0,0.16,synthetic
PRJ-015,2025-02-26,3,71,58.1,1,1,0,0,0.142,synthetic
PRJ-015,2025-03-13,3,71,89.6,0,1,0,0,0.157,synthetic
PRJ-015,2025-03-28,3,71,30.8,1,0,1,0,0.13,synthetic
PRJ-015,2025-04-12,3,71,55.7,1,1,0,0,0.133,synthetic
PRJ-015,2025-04-27,3,71,18.9,1,1,0,0,0.141,synthetic
PRJ-015,2025-05-12,3,71,31.1,0,0,1,0,0.127,synthetic
PRJ-015,2025-05-27,3,71,88.8,1,1,0,0,0.097,synthetic
PRJ-015,2025-06-11,3,71,69.2,1,1,1,0,0.054,synthetic
PRJ-015,2025-06-26,3,71,71.0,0,1,0,0,0.023,synthetic
PRJ-015,2025-07-11,3,71,33.8,1,1,0,0,0.018,synthetic
PRJ-015,2025-07-26,3,71,72.6,1,1,0,0,0.01,synthetic
PRJ-015,2025-08-10,3,71,58.2,1,1,0,0,0.057,synthetic
PRJ-015,2025-08-25,3,71,69.7,1,1,1,0,0.088,synthetic
PRJ-017,2024-06-01,19,3,24.1,5,7,5,4,0.055,synthetic
PRJ-017,2024-06-16,19,3,21.7,4,5,3,3,0.019,synthetic
PRJ-017,2024-07-01,20,2,40.4,5,9,2,2,0.032,synthetic
PRJ-017,2024-07-16,20,2,23.5,5,6,3,5,0.056,synthetic
PRJ-017,2024-07-31,21,1,54.8,8,12,3,4,0.029,synthetic
PRJ-017,2024-08-15,21,1,50.9,5,9,5,5,0.02,synthetic
PRJ-017,2024-08-30,21,1,32.1,3,14,4,2,0.018,synthetic
PRJ-017,2024-09-14,21,1,88.4,7,14,4,3,0.01,synthetic
PRJ-017,2024-09-29,21,1,79.4,8,9,2,6,0.01,synthetic
PRJ-017,2024-10-14,21,1,24.3,6,7,3,5,0.024,synthetic
PRJ-017,2024-10-29,21,1,27.9,11,5,3,4,0.018,synthetic
PRJ-017,2024-11-13,21,1,23.3,7,5,5,5,0.025,synthetic
PRJ-017,2024-11-28,21,1,29.4,11,5,6,2,0.014,synthetic
PRJ-017,2024-12-13,21,1,52.6,2,9,7,4,0.049,synthetic
PRJ-017,2024-12-28,21,1,47.7,9,9,7,5,0.034,synthetic
PRJ-017,2025-01-12,21,1,35.4,7,10,2,5,0.044,synthetic
PRJ-017,2025-01-27,21,1,19.8,12,13,6,6,0.02,synthetic
PRJ-017,2025-02-11,21,1,58.3,4,13,4,3,0.01,synthetic
PRJ-017,2025-02-26,21,1,36.8,4,7,6,2,0.01,synthetic
PRJ-017,2025-03-13,21,1,36.3,10,11,6,2,0.01,synthetic
PRJ-017,2025-03-28,21,1,69.8,3,7,5,5,0.023,synthetic
PRJ-017,2025-04-12,21,1,65.7,8,7,8,4,0.01,synthetic
PRJ-017,2025-04-27,21,1,31.3,12,11,5,3,0.01,synthetic
PRJ-017,2025-05-12,21,1,22.2,10,13,2,3,0.01,synthetic
PRJ-017,2025-05-27,21,1,75.4,12,7,7,3,0.059,synthetic
PRJ-017,2025-06-11,21,1,21.6,6,14,7,2,0.085,synthetic
PRJ-017,2025-06-26,21,1,16.3,12,5,2,5,0.091,synthetic
PRJ-017,2025-07-11,21,1,26.4,11,9,5,3,0.023,synthetic
PRJ-017,2025-07-26,21,1,70.4,3,5,4,5,0.012,synthetic
PRJ-017,2025-08-10,21,1,69.9,5,7,2,2,0.01,synthetic
PRJ-017,2025-08-25,21,1,88.5,3,14,2,2,0.01,synthetic
PRJ-019,2024-06-01,22,4,82.5,4,8,7,5,0.024,synthetic
PRJ-019,2024-06-16,23,3,47.8,13,13,4,3,0.01,synthetic
PRJ-019,2024-07-01,23,3,24.2,12,9,8,4,0.01,synthetic
PRJ-019,2024-07-16,24,2,39.2,4,7,9,4,0.021,synthetic
PRJ-019,2024-07-31,25,1,44.1,13,12,4,5,0.01,synthetic
PRJ-019,2024-08-15,25,1,47.2,12,5,5,6,0.025,synthetic
PRJ-019,2024-08-30,25,1,36.0,8,13,6,5,0.038,synthetic
PRJ-019,2024-09-14,25,1,19.5,8,8,6,4,0.056,synthetic
PRJ-019,2024-09-29,25,1,46.4,12,10,6,2,0.01,synthetic
PRJ-019,2024-10-14,25,1,35.5,10,7,4,5,0.01,synthetic
PRJ-019,2024-10-29,25,1,89.1,6,5,6,2,0.01,synthetic
PRJ-019,2024-11-13,25,1,76.1,14,16,4,6,0.034,synthetic
PRJ-019,2024-11-28,25,1,60.6,2,6,9,4,0.063,synthetic
PRJ-019,2024-12-13,25,1,53.7,7,8,3,3,0.036,synthetic
PRJ-019,2024-12-28,25,1,88.7,13,11,9,3,0.089,synthetic
PRJ-019,2025-01-12,25,1,81.7,10,9,6,4,0.139,synthetic
PRJ-019,2025-01-27,25,1,22.6,12,11,8,4,0.169,synthetic
PRJ-019,2025-02-11,25,1,72.3,9,11,6,5,0.169,synthetic
PRJ-019,2025-02-26,25,1,46.1,2,8,5,4,0.149,synthetic
PRJ-019,2025-03-13,25,1,63.0,14,7,9,2,0.162,synthetic
PRJ-019,2025-03-28,25,1,62.8,11,12,3,5,0.225,synthetic
PRJ-019,2025-04-12,25,1,24.3,8,15,9,4,0.229,synthetic
PRJ-019,2025-04-27,25,1,44.3,5,12,8,4,0.22,synthetic
PRJ-019,2025-05-12,25,1,73.3,3,7,4,4,0.175,synthetic
PRJ-019,2025-05-27,25,1,69.1,4,15,4,4,0.214,synthetic
PRJ-019,2025-06-11,25,1,74.7,7,13,9,5,0.193,synthetic
PRJ-019,2025-06-26,25,1,36.1,7,14,2,7,0.151,synthetic
PRJ-019,2025-07-11,25,1,56.9,13,5,3,6,0.117,synthetic
PRJ-019,2025-07-26,25,1,50.5,14,10,7,4,0.14,synthetic
PRJ-019,2025-08-10,25,1,22.9,13,14,7,6,0.11,synthetic
PRJ-019,2025-08-25,25,1,32.6,5,9,7,3,0.12,synthetic
PRJ-021,2024-06-01,44,14,26.2,5,21,12,10,0.06,synthetic
PRJ-021,2024-06-16,44,14,16.3,23,18,12,8,0.06,synthetic
PRJ-021,2024-07-01,45,13,67.8,24,29,13,5,0.056,synthetic
PRJ-021,2024-07-16,45,13,44.9,9,12,7,6,0.023,synthetic
PRJ-021,2024-07-31,47,11,82.6,14,31,16,10,0.032,synthetic
PRJ-021,2024-08-15,50,8,33.2,13,19,8,14,0.032,synthetic
PRJ-021,2024-08-30,51,7,30.3,15,22,5,10,0.03,synthetic
PRJ-021,2024-09-14,52,6,36.9,28,12,13,12,0.028,synthetic
PRJ-021,2024-09-29,53,5,16.4,16,22,13,6,0.01,synthetic
PRJ-021,2024-10-14,55,3,32.5,8,29,9,8,0.036,synthetic
PRJ-021,2024-10-29,55,3,51.4,10,34,20,9,0.048,synthetic
PRJ-021,2024-11-13,56,2,43.2,29,12,15,13,0.07,synthetic
PRJ-021,2024-11-28,56,2,83.2,22,21,11,11,0.067,synthetic
PRJ-021,2024-12-13,56,2,70.6,25,33,17,10,0.062,synthetic
PRJ-021,2024-12-28,56,2,56.2,20,21,7,10,0.051,synthetic
PRJ-021,2025-01-12,56,2,19.9,23,33,16,6,0.038,synthetic
PRJ-021,2025-01-27,56,2,55.1,27,30,10,6,0.04,synthetic
PRJ-021,2025-02-11,56,2,84.9,15,15,6,13,0.017,synthetic
PRJ-021,2025-02-26,56,2,36.9,18,15,9,6,0.035,synthetic
PRJ-021,2025-03-13,56,2,73.2,29,12,12,15,0.039,synthetic
PRJ-021,2025-03-28,56,2,84.4,15,32,11,12,0.059,synthetic
PRJ-021,2025-04-12,56,2,32.1,7,16,7,9,0.056,synthetic
PRJ-021,2025-04-27,56,2,38.2,23,11,18,6,0.107,synthetic
PRJ-021,2025-05-12,56,2,70.5,28,30,15,7,0.138,synthetic
PRJ-021,2025-05-27,56,2,83.0,30,26,14,14,0.144,synthetic
PRJ-021,2025-06-11,56,2,79.3,24,18,15,15,0.158,synthetic
PRJ-021,2025-06-26,56,2,15.6,16,16,15,14,0.174,synthetic
PRJ-021,2025-07-11,56,2,65.6,22,30,9,7,0.162,synthetic
PRJ-021,2025-07-26,56,2,15.4,15,37,19,14,0.171,synthetic
PRJ-021,2025-08-10,56,2,18.2,25,20,7,9,0.183,synthetic
PRJ-021,2025-08-25,56,2,58.4,17,20,21,13,0.198,synthetic
PRJ-023,2024-06-01,54,25,71.3,20,22,11,10,0.087,synthetic
PRJ-023,2024-06-16,52,27,88.9,23,28,7,13,0.091,synthetic
PRJ-023,2024-07-01,54,25,79.5,24,24,8,11,0.083,synthetic
PRJ-023,2024-07-16,56,23,35.7,11,28,17,15,0.082,synthetic
PRJ-023,2024-07-31,55,24,42.6,26,33,11,9,0.066,synthetic
PRJ-023,2024-08-15,56,23,51.3,7,29,11,14,0.096,synthetic
PRJ-023,2024-08-30,58,21,22.8,13,30,16,9,0.098,synthetic
PRJ-023,2024-09-14,57,22,41.2,22,26,15,14,0.121,synthetic
PRJ-023,2024-09-29,57,22,66.9,26,32,6,11,0.104,synthetic
PRJ-023,2024-10-14,57,22,58.7,28,39,19,7,0.098,synthetic
PRJ-023,2024-10-29,60,19,22.4,19,20,13,16,0.108,synthetic
PRJ-023,2024-11-13,59,20,38.9,23,22,7,12,0.123,synthetic
PRJ-023,2024-11-28,60,19,38.0,23,25,23,6,0.121,synthetic
PRJ-023,2024-12-13,60,19,80.4,7,31,18,17,0.118,synthetic
