family_id,parcel_id,project_id,affected,displaced,rr_eligibility,rr_status,benefit_type,benefit_status,data_source
FAM-PCL-D863F07F-1,PCL-D863F07F,PRJ-001,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-85ED9B4E-0,PCL-85ED9B4E,PRJ-001,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-85ED9B4E-1,PCL-85ED9B4E,PRJ-001,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-85ED9B4E-2,PCL-85ED9B4E,PRJ-001,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-268F1F65-0,PCL-268F1F65,PRJ-001,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-268F1F65-1,PCL-268F1F65,PRJ-001,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-3351F300-0,PCL-3351F300,PRJ-001,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-3351F300-1,PCL-3351F300,PRJ-001,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-42E866A4-0,PCL-42E866A4,PRJ-001,True,True,eligible,in_progress,cash,pending,synthetic
FAM-PCL-0F8B8BCD-0,PCL-0F8B8BCD,PRJ-001,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-14B1802B-0,PCL-14B1802B,PRJ-003,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-14B1802B-1,PCL-14B1802B,PRJ-003,True,True,eligible,in_progress,housing,pending,synthetic
FAM-PCL-8C9B3239-0,PCL-8C9B3239,PRJ-003,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-E7E50417-0,PCL-E7E50417,PRJ-003,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-C2DE6A21-0,PCL-C2DE6A21,PRJ-003,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-C2DE6A21-1,PCL-C2DE6A21,PRJ-003,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-C2DE6A21-2,PCL-C2DE6A21,PRJ-003,True,True,eligible,pending,housing,disbursed,synthetic
FAM-PCL-106E7493-0,PCL-106E7493,PRJ-003,True,True,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-106E7493-1,PCL-106E7493,PRJ-003,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-E89046EE-0,PCL-E89046EE,PRJ-003,True,True,eligible,in_progress,housing,pending,synthetic
FAM-PCL-D1D220CE-0,PCL-D1D220CE,PRJ-003,True,True,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-D1D220CE-1,PCL-D1D220CE,PRJ-003,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-D1D220CE-2,PCL-D1D220CE,PRJ-003,True,True,eligible,completed,cash,disbursed,synthetic
FAM-PCL-15173601-0,PCL-15173601,PRJ-003,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-15173601-1,PCL-15173601,PRJ-003,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-15173601-2,PCL-15173601,PRJ-003,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-641AAD6E-0,PCL-641AAD6E,PRJ-003,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-641AAD6E-1,PCL-641AAD6E,PRJ-003,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-2EF0EE05-0,PCL-2EF0EE05,PRJ-003,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-2EF0EE05-1,PCL-2EF0EE05,PRJ-003,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-2EF0EE05-2,PCL-2EF0EE05,PRJ-003,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-FF7F422A-0,PCL-FF7F422A,PRJ-003,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-097A2F86-0,PCL-097A2F86,PRJ-003,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-D9FD6633-0,PCL-D9FD6633,PRJ-003,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-6EF7C14E-0,PCL-6EF7C14E,PRJ-003,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-76DCDB12-0,PCL-76DCDB12,PRJ-003,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-FAB9FDA1-0,PCL-FAB9FDA1,PRJ-003,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-71C4C202-0,PCL-71C4C202,PRJ-003,True,True,eligible,completed,cash,disbursed,synthetic
FAM-PCL-7AA71223-0,PCL-7AA71223,PRJ-003,True,False,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-2BF25EF4-0,PCL-2BF25EF4,PRJ-003,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-953C1262-0,PCL-953C1262,PRJ-005,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-953C1262-1,PCL-953C1262,PRJ-005,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-953C1262-2,PCL-953C1262,PRJ-005,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-BDE74633-0,PCL-BDE74633,PRJ-005,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-BDE74633-1,PCL-BDE74633,PRJ-005,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-BDE74633-2,PCL-BDE74633,PRJ-005,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-D8EDC4A1-0,PCL-D8EDC4A1,PRJ-005,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-D8EDC4A1-1,PCL-D8EDC4A1,PRJ-005,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-0363277B-0,PCL-0363277B,PRJ-005,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-0363277B-1,PCL-0363277B,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-4A170E2B-0,PCL-4A170E2B,PRJ-005,True,False,eligible,pending,housing,disbursed,synthetic
FAM-PCL-4A170E2B-1,PCL-4A170E2B,PRJ-005,True,False,eligible,in_progress,housing,pending,synthetic
FAM-PCL-0F21DB29-0,PCL-0F21DB29,PRJ-005,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-0F21DB29-1,PCL-0F21DB29,PRJ-005,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-AB8F7060-0,PCL-AB8F7060,PRJ-005,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-AB8F7060-1,PCL-AB8F7060,PRJ-005,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-864E275D-0,PCL-864E275D,PRJ-005,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-864E275D-1,PCL-864E275D,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-3AC9BB48-0,PCL-3AC9BB48,PRJ-005,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-3AC9BB48-1,PCL-3AC9BB48,PRJ-005,True,False,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-739FFCCD-0,PCL-739FFCCD,PRJ-005,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-739FFCCD-1,PCL-739FFCCD,PRJ-005,True,False,eligible,pending,housing,pending,synthetic
FAM-PCL-6989905B-0,PCL-6989905B,PRJ-005,True,False,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-6989905B-1,PCL-6989905B,PRJ-005,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-6989905B-2,PCL-6989905B,PRJ-005,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-B8CED11A-0,PCL-B8CED11A,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-B8CED11A-1,PCL-B8CED11A,PRJ-005,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-B8CED11A-2,PCL-B8CED11A,PRJ-005,True,True,eligible,pending,housing,pending,synthetic
FAM-PCL-FB0BFA8A-0,PCL-FB0BFA8A,PRJ-005,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-FB0BFA8A-1,PCL-FB0BFA8A,PRJ-005,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-B13AE025-0,PCL-B13AE025,PRJ-005,True,True,eligible,completed,cash,disbursed,synthetic
FAM-PCL-B13AE025-1,PCL-B13AE025,PRJ-005,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-B13AE025-2,PCL-B13AE025,PRJ-005,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-B073B6CC-0,PCL-B073B6CC,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-B073B6CC-1,PCL-B073B6CC,PRJ-005,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-B073B6CC-2,PCL-B073B6CC,PRJ-005,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-3624AC0A-0,PCL-3624AC0A,PRJ-005,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-3624AC0A-1,PCL-3624AC0A,PRJ-005,True,False,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-3624AC0A-2,PCL-3624AC0A,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-EC199E75-0,PCL-EC199E75,PRJ-005,True,False,eligible,pending,cash,disbursed,synthetic
FAM-PCL-EC199E75-1,PCL-EC199E75,PRJ-005,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-2F8498B2-0,PCL-2F8498B2,PRJ-005,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-2F8498B2-1,PCL-2F8498B2,PRJ-005,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-2F8498B2-2,PCL-2F8498B2,PRJ-005,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-8D6CD67E-0,PCL-8D6CD67E,PRJ-005,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-8D6CD67E-1,PCL-8D6CD67E,PRJ-005,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-8D6CD67E-2,PCL-8D6CD67E,PRJ-005,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-12140738-0,PCL-12140738,PRJ-005,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-12140738-1,PCL-12140738,PRJ-005,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-4F2FFA60-0,PCL-4F2FFA60,PRJ-007,True,False,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-A0A88EFC-0,PCL-A0A88EFC,PRJ-007,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-A0A88EFC-1,PCL-A0A88EFC,PRJ-007,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-A0A88EFC-2,PCL-A0A88EFC,PRJ-007,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-C6C8A3C3-0,PCL-C6C8A3C3,PRJ-007,True,True,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-C6C8A3C3-1,PCL-C6C8A3C3,PRJ-007,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-C6C8A3C3-2,PCL-C6C8A3C3,PRJ-007,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-EB617C1B-0,PCL-EB617C1B,PRJ-007,True,True,eligible,pending,cash,pending,synthetic
FAM-PCL-9B2BFC9A-0,PCL-9B2BFC9A,PRJ-007,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-46C58585-0,PCL-46C58585,PRJ-007,True,True,eligible,completed,cash,disbursed,synthetic
FAM-PCL-46C58585-1,PCL-46C58585,PRJ-007,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-46C58585-2,PCL-46C58585,PRJ-007,True,True,eligible,pending,housing,disbursed,synthetic
FAM-PCL-8905AD85-0,PCL-8905AD85,PRJ-007,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-8905AD85-1,PCL-8905AD85,PRJ-007,True,False,eligible,pending,housing,disbursed,synthetic
FAM-PCL-B3BF3D2F-0,PCL-B3BF3D2F,PRJ-007,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-DE07BC27-0,PCL-DE07BC27,PRJ-009,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-DE07BC27-1,PCL-DE07BC27,PRJ-009,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-93DA8633-0,PCL-93DA8633,PRJ-009,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-93DA8633-1,PCL-93DA8633,PRJ-009,True,True,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-93DA8633-2,PCL-93DA8633,PRJ-009,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-F51B76CB-0,PCL-F51B76CB,PRJ-009,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-F51B76CB-1,PCL-F51B76CB,PRJ-009,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-F51B76CB-2,PCL-F51B76CB,PRJ-009,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-14D73A6A-0,PCL-14D73A6A,PRJ-009,True,False,eligible,pending,cash,disbursed,synthetic
FAM-PCL-14D73A6A-1,PCL-14D73A6A,PRJ-009,True,True,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-7EAEC4C5-0,PCL-7EAEC4C5,PRJ-009,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-13F9FB9B-0,PCL-13F9FB9B,PRJ-009,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-097DD606-0,PCL-097DD606,PRJ-009,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-097DD606-1,PCL-097DD606,PRJ-009,True,True,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-097DD606-2,PCL-097DD606,PRJ-009,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-C4F60CBC-0,PCL-C4F60CBC,PRJ-009,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-C4F60CBC-1,PCL-C4F60CBC,PRJ-009,True,False,eligible,pending,housing,pending,synthetic
FAM-PCL-DB7696B8-0,PCL-DB7696B8,PRJ-009,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-00BBB909-0,PCL-00BBB909,PRJ-009,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-00BBB909-1,PCL-00BBB909,PRJ-009,True,False,eligible,pending,livelihood_support,pending,synthetic
FAM-PCL-E23DEFE7-0,PCL-E23DEFE7,PRJ-009,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-E23DEFE7-1,PCL-E23DEFE7,PRJ-009,True,True,eligible,pending,cash,disbursed,synthetic
FAM-PCL-E23DEFE7-2,PCL-E23DEFE7,PRJ-009,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-2C44C14B-0,PCL-2C44C14B,PRJ-009,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-003034CE-0,PCL-003034CE,PRJ-009,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-155DDB2C-0,PCL-155DDB2C,PRJ-009,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-FA37EC2C-0,PCL-FA37EC2C,PRJ-009,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-891138AB-0,PCL-891138AB,PRJ-009,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-891138AB-1,PCL-891138AB,PRJ-009,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-E2B21FE0-0,PCL-E2B21FE0,PRJ-009,True,True,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-E2B21FE0-1,PCL-E2B21FE0,PRJ-009,True,False,eligible,pending,cash,disbursed,synthetic
FAM-PCL-E2B21FE0-2,PCL-E2B21FE0,PRJ-009,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-71B86EEA-0,PCL-71B86EEA,PRJ-009,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-71B86EEA-1,PCL-71B86EEA,PRJ-009,True,False,eligible,pending,cash,pending,synthetic
FAM-PCL-71B86EEA-2,PCL-71B86EEA,PRJ-009,True,True,eligible,in_progress,cash,pending,synthetic
FAM-PCL-407E484D-0,PCL-407E484D,PRJ-009,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-407E484D-1,PCL-407E484D,PRJ-009,True,True,eligible,pending,housing,disbursed,synthetic
FAM-PCL-81D5C63C-0,PCL-81D5C63C,PRJ-011,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-81D5C63C-1,PCL-81D5C63C,PRJ-011,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-81D5C63C-2,PCL-81D5C63C,PRJ-011,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-5F0FDDE8-0,PCL-5F0FDDE8,PRJ-011,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-5F0FDDE8-1,PCL-5F0FDDE8,PRJ-011,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-5F0FDDE8-2,PCL-5F0FDDE8,PRJ-011,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-88EA0495-0,PCL-88EA0495,PRJ-011,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-A7FFCF4F-0,PCL-A7FFCF4F,PRJ-011,True,True,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-383AA74F-0,PCL-383AA74F,PRJ-011,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-383AA74F-1,PCL-383AA74F,PRJ-011,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-383AA74F-2,PCL-383AA74F,PRJ-011,True,False,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-30AF5AC9-0,PCL-30AF5AC9,PRJ-011,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-30AF5AC9-1,PCL-30AF5AC9,PRJ-011,True,False,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-30AF5AC9-2,PCL-30AF5AC9,PRJ-011,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-1604BCD9-0,PCL-1604BCD9,PRJ-011,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-1604BCD9-1,PCL-1604BCD9,PRJ-011,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-1604BCD9-2,PCL-1604BCD9,PRJ-011,True,False,eligible,pending,cash,disbursed,synthetic
FAM-PCL-6778EEC8-0,PCL-6778EEC8,PRJ-011,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-6856421F-0,PCL-6856421F,PRJ-011,True,False,eligible,pending,livelihood_support,pending,synthetic
FAM-PCL-4311AA57-0,PCL-4311AA57,PRJ-013,True,True,eligible,pending,housing,pending,synthetic
FAM-PCL-D2F4C25A-0,PCL-D2F4C25A,PRJ-013,True,True,eligible,in_progress,cash,pending,synthetic
FAM-PCL-AA099E19-0,PCL-AA099E19,PRJ-013,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-AA099E19-1,PCL-AA099E19,PRJ-013,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-2CDA4156-0,PCL-2CDA4156,PRJ-013,True,True,eligible,pending,livelihood_support,pending,synthetic
FAM-PCL-2CDA4156-1,PCL-2CDA4156,PRJ-013,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-2CDA4156-2,PCL-2CDA4156,PRJ-013,True,False,eligible,pending,cash,disbursed,synthetic
FAM-PCL-4B709D48-0,PCL-4B709D48,PRJ-013,True,True,eligible,completed,cash,disbursed,synthetic
FAM-PCL-4B709D48-1,PCL-4B709D48,PRJ-013,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-4B709D48-2,PCL-4B709D48,PRJ-013,True,True,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-880E5DB4-0,PCL-880E5DB4,PRJ-013,True,False,eligible,completed,housing,disbursed,synthetic
FAM-PCL-F53F8B1B-0,PCL-F53F8B1B,PRJ-013,True,True,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-F53F8B1B-1,PCL-F53F8B1B,PRJ-013,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-F53F8B1B-2,PCL-F53F8B1B,PRJ-013,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-5191E5B8-0,PCL-5191E5B8,PRJ-013,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-5191E5B8-1,PCL-5191E5B8,PRJ-013,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-5191E5B8-2,PCL-5191E5B8,PRJ-013,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-51AAC500-0,PCL-51AAC500,PRJ-013,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-51AAC500-1,PCL-51AAC500,PRJ-013,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-E57C988B-0,PCL-E57C988B,PRJ-013,True,True,eligible,completed,housing,pending,synthetic
FAM-PCL-E57C988B-1,PCL-E57C988B,PRJ-013,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-FD73A330-0,PCL-FD73A330,PRJ-013,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-FD73A330-1,PCL-FD73A330,PRJ-013,True,True,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-FD73A330-2,PCL-FD73A330,PRJ-013,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-4D010A0F-0,PCL-4D010A0F,PRJ-013,True,True,eligible,completed,housing,disbursed,synthetic
FAM-PCL-4D010A0F-1,PCL-4D010A0F,PRJ-013,True,False,eligible,pending,housing,disbursed,synthetic
FAM-PCL-4D010A0F-2,PCL-4D010A0F,PRJ-013,True,False,eligible,pending,housing,pending,synthetic
FAM-PCL-ABB0185F-0,PCL-ABB0185F,PRJ-013,True,False,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-BF9429FF-0,PCL-BF9429FF,PRJ-013,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-BF9429FF-1,PCL-BF9429FF,PRJ-013,True,True,eligible,pending,livelihood_support,pending,synthetic
FAM-PCL-55EC179C-0,PCL-55EC179C,PRJ-013,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-55EC179C-1,PCL-55EC179C,PRJ-013,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-55EC179C-2,PCL-55EC179C,PRJ-013,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-6E297102-0,PCL-6E297102,PRJ-013,True,True,eligible,in_progress,livelihood_support,pending,synthetic
FAM-PCL-C6946601-0,PCL-C6946601,PRJ-013,True,False,eligible,pending,livelihood_support,pending,synthetic
FAM-PCL-77BB821E-0,PCL-77BB821E,PRJ-013,True,False,eligible,completed,livelihood_support,pending,synthetic
FAM-PCL-77BB821E-1,PCL-77BB821E,PRJ-013,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-77BB821E-2,PCL-77BB821E,PRJ-013,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-AC4167D6-0,PCL-AC4167D6,PRJ-013,True,False,eligible,completed,livelihood_support,disbursed,synthetic
FAM-PCL-2A131EF6-0,PCL-2A131EF6,PRJ-013,True,False,eligible,completed,cash,pending,synthetic
FAM-PCL-AE3FF34C-0,PCL-AE3FF34C,PRJ-013,True,True,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-AE3FF34C-1,PCL-AE3FF34C,PRJ-013,True,False,eligible,pending,livelihood_support,disbursed,synthetic
FAM-PCL-AE3FF34C-2,PCL-AE3FF34C,PRJ-013,True,False,eligible,completed,housing,pending,synthetic
FAM-PCL-22CE04F7-0,PCL-22CE04F7,PRJ-013,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-22CE04F7-1,PCL-22CE04F7,PRJ-013,True,True,eligible,completed,cash,pending,synthetic
FAM-PCL-22CE04F7-2,PCL-22CE04F7,PRJ-013,True,False,eligible,completed,cash,disbursed,synthetic
FAM-PCL-C35C89B2-0,PCL-C35C89B2,PRJ-013,True,True,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-C35C89B2-1,PCL-C35C89B2,PRJ-013,True,False,eligible,in_progress,livelihood_support,disbursed,synthetic
FAM-PCL-C35C89B2-2,PCL-C35C89B2,PRJ-013,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-A935E774-0,PCL-A935E774,PRJ-013,True,False,eligible,in_progress,cash,pending,synthetic
FAM-PCL-A935E774-1,PCL-A935E774,PRJ-013,True,False,eligible,in_progress,housing,disbursed,synthetic
FAM-PCL-A935E774-2,PCL-A935E774,PRJ-013,True,False,eligible,in_progress,cash,disbursed,synthetic
FAM-PCL-64FD76EB-0,PCL-64FD76EB,PRJ-013,True,True,eligible,completed,cash,disbursed,synthetic
