parcel_id,project_id,assessed_amount,approved_amount,paid_amount,payment_date,payment_status,data_source
PCL-71C4C202,PRJ-003,985719.42,866334.05,866334.05,2024-10-14,paid,synthetic
PCL-7AA71223,PRJ-003,1344765.62,1199468.7,1199468.7,2024-12-11,paid,synthetic
PCL-1A985AD8,PRJ-003,2246778.12,1991309.63,995654.82,2024-04-28,partial,synthetic
PCL-DD079ED0,PRJ-003,3109472.48,2849935.41,2849935.41,2024-05-14,paid,synthetic
PCL-EAC1C0EC,PRJ-003,4965594.71,4398274.32,0.0,,pending,synthetic
PCL-9A8AAC77,PRJ-003,4184438.73,4125852.22,0.0,,pending,synthetic
PCL-6EA45ED5,PRJ-003,3714755.43,3308870.84,0.0,,pending,synthetic
PCL-2BF25EF4,PRJ-003,4866155.74,4480524.12,4480524.12,2024-03-14,paid,synthetic
PCL-62C251AB,PRJ-003,4501965.93,4015323.39,0.0,,pending,synthetic
PCL-E803D9BE,PRJ-003,600928.01,535830.85,535830.85,2024-10-02,paid,synthetic
PCL-E71C9DB2,PRJ-005,510092.8,435940.19,217970.1,2025-01-29,partial,synthetic
PCL-953C1262,PRJ-005,2216748.9,2161233.21,2161233.21,2024-03-31,paid,synthetic
PCL-E52FA465,PRJ-005,4146469.06,3644033.22,0.0,,pending,synthetic
PCL-912088F3,PRJ-005,4708837.28,4410644.71,0.0,,pending,synthetic
PCL-BDE74633,PRJ-005,3986445.77,3645352.74,3645352.74,2024-03-08,paid,synthetic
PCL-13E89CCF,PRJ-005,670690.86,633918.83,316959.41,2024-07-07,partial,synthetic
PCL-D8EDC4A1,PRJ-005,3876624.69,3785079.62,0.0,,pending,synthetic
PCL-769188DF,PRJ-005,4917089.7,4517663.68,4517663.68,2024-07-03,paid,synthetic
PCL-8C9A31F9,PRJ-005,1353556.14,1202790.77,0.0,,pending,synthetic
PCL-0363277B,PRJ-005,4488086.35,3929823.34,3929823.34,2024-05-13,paid,synthetic
PCL-4A170E2B,PRJ-005,3583856.67,3265797.47,1632898.74,2024-09-27,partial,synthetic
PCL-0F21DB29,PRJ-005,2115209.75,1834858.77,1834858.77,2024-09-19,paid,synthetic
PCL-AB8F7060,PRJ-005,3482182.29,2995769.05,2995769.05,2024-09-20,paid,synthetic
PCL-864E275D,PRJ-005,2689828.48,2360793.61,2360793.61,2025-03-28,paid,synthetic
PCL-3AC9BB48,PRJ-005,3686985.07,3479923.96,1739961.98,2024-08-15,partial,synthetic
PCL-739FFCCD,PRJ-005,3743909.35,3566127.3,3566127.3,2024-10-20,paid,synthetic
PCL-6989905B,PRJ-005,2399735.93,2220619.0,2220619.0,2024-08-10,paid,synthetic
PCL-B8CED11A,PRJ-005,2217023.91,1896575.17,1896575.17,2025-03-15,paid,synthetic
PCL-FB0BFA8A,PRJ-005,1571814.52,1559334.47,1559334.47,2024-11-24,paid,synthetic
PCL-B13AE025,PRJ-005,1617456.26,1381388.31,690694.16,2024-12-07,partial,synthetic
PCL-B073B6CC,PRJ-005,1275935.21,1213889.49,606944.74,2024-11-19,partial,synthetic
PCL-3624AC0A,PRJ-005,3974321.94,3593473.71,3593473.71,2024-07-19,paid,synthetic
PCL-EC199E75,PRJ-005,3460021.66,3182268.08,3182268.08,2024-11-17,paid,synthetic
PCL-2F8498B2,PRJ-005,4021488.64,3913945.08,0.0,,pending,synthetic
PCL-21818D1D,PRJ-005,4698200.06,4200627.31,0.0,,pending,synthetic
PCL-7DA48DC8,PRJ-005,954845.68,869127.34,0.0,,pending,synthetic
PCL-8D6CD67E,PRJ-005,4769326.81,4725840.6,4725840.6,2024-05-18,paid,synthetic
PCL-12140738,PRJ-005,2516128.7,2140373.84,2140373.84,2025-04-11,paid,synthetic
PCL-4F2FFA60,PRJ-007,2371067.44,2049481.7,2049481.7,2024-10-18,paid,synthetic
PCL-35FB8A4C,PRJ-007,1619294.54,1383919.23,0.0,,pending,synthetic
PCL-A0A88EFC,PRJ-007,2007514.66,1983557.54,1983557.54,2025-05-02,paid,synthetic
PCL-6CF8C4D8,PRJ-007,1490611.81,1482240.49,0.0,,pending,synthetic
PCL-C6C8A3C3,PRJ-007,760151.61,694657.0,0.0,,pending,synthetic
PCL-19D61237,PRJ-007,4342367.25,4177181.99,2088591.0,2024-05-17,partial,synthetic
PCL-EB617C1B,PRJ-007,1096338.3,1088973.67,1088973.67,2025-05-10,paid,synthetic
PCL-8199BCDC,PRJ-007,2195773.29,2067257.29,1033628.64,2024-10-21,partial,synthetic
PCL-9B2BFC9A,PRJ-007,4505899.18,4106324.57,0.0,,pending,synthetic
PCL-46C58585,PRJ-007,4557623.24,4057075.91,4057075.91,2024-06-14,paid,synthetic
PCL-8905AD85,PRJ-007,4600597.91,3988585.96,1994292.98,2024-06-17,partial,synthetic
PCL-C60ABF3B,PRJ-007,3764547.05,3702429.77,0.0,,pending,synthetic
PCL-AB9FE0A9,PRJ-007,3425009.99,3060414.8,0.0,,pending,synthetic
PCL-B3BF3D2F,PRJ-007,2465423.95,2165051.08,0.0,,pending,synthetic
PCL-DE36119E,PRJ-007,2530353.55,2203027.14,0.0,,pending,synthetic
PCL-DE07BC27,PRJ-009,2344750.03,2280226.44,2280226.44,2025-04-24,paid,synthetic
PCL-93DA8633,PRJ-009,2047572.5,1949410.26,974705.13,2024-10-31,partial,synthetic
PCL-F51B76CB,PRJ-009,2731635.77,2596895.15,2596895.15,2024-04-04,paid,synthetic
PCL-14D73A6A,PRJ-009,4107867.86,3757087.34,0.0,,pending,synthetic
PCL-4FFE3C88,PRJ-009,4138621.84,3522739.39,0.0,,pending,synthetic
PCL-7EAEC4C5,PRJ-009,2472187.6,2421433.9,2421433.9,2024-11-27,paid,synthetic
PCL-E1385401,PRJ-009,1415392.73,1209373.78,0.0,,pending,synthetic
PCL-13F9FB9B,PRJ-009,4488041.99,4033646.16,4033646.16,2024-10-14,paid,synthetic
PCL-097DD606,PRJ-009,4000986.21,3840082.4,0.0,,pending,synthetic
PCL-C4F60CBC,PRJ-009,3025186.58,2661561.41,2661561.41,2025-05-09,paid,synthetic
PCL-DB7696B8,PRJ-009,3818167.98,3499760.73,1749880.36,2024-07-26,partial,synthetic
PCL-DDA4DBB8,PRJ-009,3106461.03,3008429.47,3008429.47,2024-03-27,paid,synthetic
PCL-00BBB909,PRJ-009,4077288.97,3611045.88,3611045.88,2024-06-01,paid,synthetic
PCL-E23DEFE7,PRJ-009,3569276.95,3425094.11,0.0,,pending,synthetic
PCL-DADA7FA9,PRJ-009,834521.06,793037.8,0.0,,pending,synthetic
PCL-3E8022FE,PRJ-009,1955001.59,1780850.32,1780850.32,2024-07-18,paid,synthetic
PCL-1FCC992A,PRJ-009,915762.1,825417.94,0.0,,pending,synthetic
PCL-2C44C14B,PRJ-009,1863460.56,1850387.23,1850387.23,2024-03-20,paid,synthetic
PCL-003034CE,PRJ-009,1394938.33,1272003.16,0.0,,pending,synthetic
PCL-975DF8B5,PRJ-009,1392787.09,1357617.09,0.0,,pending,synthetic
PCL-11CF98D3,PRJ-009,2880200.85,2642047.65,2642047.65,2024-05-08,paid,synthetic
PCL-76508B5B,PRJ-009,1127369.96,1042520.36,1042520.36,2024-12-07,paid,synthetic
PCL-155DDB2C,PRJ-009,2931788.33,2572717.98,1286358.99,2024-04-01,partial,synthetic
PCL-06A12170,PRJ-009,4551891.28,4134328.84,0.0,,pending,synthetic
PCL-EE0075FF,PRJ-009,2399447.5,2227759.61,0.0,,pending,synthetic
PCL-FA37EC2C,PRJ-009,3331374.53,3090151.61,3090151.61,2024-09-25,paid,synthetic
PCL-891138AB,PRJ-009,1555191.29,1471323.67,1471323.67,2024-09-27,paid,synthetic
PCL-E2B21FE0,PRJ-009,3004664.74,2833637.76,1416818.88,2024-12-09,partial,synthetic
PCL-71B86EEA,PRJ-009,972799.27,955534.52,477767.26,2024-09-19,partial,synthetic
PCL-044BC0DB,PRJ-009,2884278.95,2824814.82,0.0,,pending,synthetic
PCL-B8B3FAFB,PRJ-009,3743735.89,3273964.4,1636982.2,2024-09-12,partial,synthetic
PCL-52FCDA98,PRJ-009,1558426.0,1493225.11,0.0,,pending,synthetic
PCL-407E484D,PRJ-009,3087489.35,2946792.61,2946792.61,2024-05-22,paid,synthetic
PCL-8816C774,PRJ-009,3722116.17,3648793.45,3648793.45,2024-11-23,paid,synthetic
PCL-81D5C63C,PRJ-011,4677303.19,4523203.33,4523203.33,2024-04-06,paid,synthetic
PCL-4A67198A,PRJ-011,1831577.79,1662852.4,1662852.4,2024-10-28,paid,synthetic
PCL-5F0FDDE8,PRJ-011,2836843.84,2537847.26,0.0,,pending,synthetic
PCL-88EA0495,PRJ-011,3630799.46,3481447.36,1740723.68,2025-05-02,partial,synthetic
PCL-08DF24A8,PRJ-011,759104.24,670336.78,0.0,,pending,synthetic
PCL-DBAB655B,PRJ-011,3872025.42,3620853.76,1810426.88,2024-12-09,partial,synthetic
PCL-A7FFCF4F,PRJ-011,960344.63,870547.43,435273.72,2025-02-06,partial,synthetic
PCL-41841544,PRJ-011,2893838.98,2719398.73,0.0,,pending,synthetic
PCL-7B937555,PRJ-011,4239820.15,3979201.18,0.0,,pending,synthetic
PCL-803F0880,PRJ-011,4117794.6,3922244.24,1961122.12,2025-04-27,partial,synthetic
PCL-383AA74F,PRJ-011,3292503.02,3274010.15,3274010.15,2024-04-10,paid,synthetic
PCL-30AF5AC9,PRJ-011,1553568.75,1545787.03,1545787.03,2024-12-12,paid,synthetic
PCL-1604BCD9,PRJ-011,2234766.11,1940686.67,1940686.67,2025-01-09,paid,synthetic
PCL-6778EEC8,PRJ-011,1086059.74,1070178.27,1070178.27,2024-08-24,paid,synthetic
PCL-6856421F,PRJ-011,2126110.21,2047347.25,1023673.62,2024-10-01,partial,synthetic
PCL-4311AA57,PRJ-013,4928154.09,4622134.71,0.0,,pending,synthetic
PCL-D2F4C25A,PRJ-013,4548464.44,4418882.76,4418882.76,2025-02-02,paid,synthetic
PCL-AA099E19,PRJ-013,3757248.29,3499106.32,3499106.32,2024-04-24,paid,synthetic
PCL-04CC0373,PRJ-013,3026491.12,2963243.93,2963243.93,2024-04-23,paid,synthetic
PCL-2CDA4156,PRJ-013,1670745.44,1638534.36,0.0,,pending,synthetic
PCL-DDA0BE06,PRJ-013,837495.18,714825.7,714825.7,2024-08-13,paid,synthetic
PCL-A723A042,PRJ-013,996740.59,891633.64,0.0,,pending,synthetic
PCL-9C8A6011,PRJ-013,1093200.78,939486.05,0.0,,pending,synthetic
PCL-4B709D48,PRJ-013,1236314.52,1080024.16,1080024.16,2025-04-12,paid,synthetic
PCL-880E5DB4,PRJ-013,3065080.71,2729147.28,0.0,,pending,synthetic
PCL-9F5FB081,PRJ-013,4532520.41,4120772.39,4120772.39,2024-10-13,paid,synthetic
PCL-62905FBB,PRJ-013,3546020.75,3396507.3,3396507.3,2024-05-31,paid,synthetic
PCL-F53F8B1B,PRJ-013,3703088.06,3696754.85,3696754.85,2024-03-06,paid,synthetic
PCL-AE84895F,PRJ-013,3656561.21,3225936.69,1612968.34,2024-08-18,partial,synthetic
PCL-5191E5B8,PRJ-013,2690868.21,2395816.7,1197908.35,2024-03-17,partial,synthetic
PCL-51AAC500,PRJ-013,1164337.52,997656.92,997656.92,2024-06-27,paid,synthetic
PCL-73EF0AE6,PRJ-013,3098525.31,2817100.86,1408550.43,2024-10-11,partial,synthetic
PCL-00EDE25B,PRJ-013,4619760.21,4180540.79,4180540.79,2024-09-03,paid,synthetic
PCL-0EBC2398,PRJ-013,1007578.08,967451.07,0.0,,pending,synthetic
PCL-E57C988B,PRJ-013,2577300.43,2534137.34,2534137.34,2025-04-12,paid,synthetic
PCL-FD73A330,PRJ-013,4232548.73,3884335.24,3884335.24,2025-03-21,paid,synthetic
PCL-4D010A0F,PRJ-013,3485347.36,3260745.89,1630372.94,2024-10-29,partial,synthetic
PCL-29161BEE,PRJ-013,1155088.04,1147167.42,1147167.42,2024-12-24,paid,synthetic
PCL-4C596B68,PRJ-013,4369508.77,3855506.22,0.0,,pending,synthetic
PCL-3A5451B9,PRJ-013,3515713.67,3056812.01,0.0,,pending,synthetic
PCL-4B433027,PRJ-013,2568763.58,2437142.05,1218571.02,2024-06-12,partial,synthetic
PCL-ABB0185F,PRJ-013,1324025.3,1323682.31,661841.16,2024-04-05,partial,synthetic
PCL-52D9F3BE,PRJ-013,3438845.32,3408146.66,0.0,,pending,synthetic
PCL-BF9429FF,PRJ-013,3866662.72,3495562.25,3495562.25,2024-10-25,paid,synthetic
PCL-55EC179C,PRJ-013,2905949.82,2528312.55,2528312.55,2025-04-13,paid,synthetic
PCL-6E297102,PRJ-013,1132261.73,1091337.42,0.0,,pending,synthetic
PCL-C6946601,PRJ-013,2347674.13,2062027.66,2062027.66,2024-09-13,paid,synthetic
PCL-77BB821E,PRJ-013,1392782.82,1239311.71,1239311.71,2024-07-08,paid,synthetic
PCL-AC4167D6,PRJ-013,2801196.5,2662111.71,2662111.71,2025-04-01,paid,synthetic
PCL-F84ABEB0,PRJ-013,585351.13,540524.01,270262.0,2024-11-16,partial,synthetic
PCL-2A131EF6,PRJ-013,739992.57,703274.51,703274.51,2025-04-19,paid,synthetic
PCL-FAA861C7,PRJ-013,4347095.22,4313550.53,0.0,,pending,synthetic
PCL-AE3FF34C,PRJ-013,4802442.57,4723344.03,2361672.02,2024-04-15,partial,synthetic
PCL-22CE04F7,PRJ-013,1277695.43,1212457.45,1212457.45,2024-05-24,paid,synthetic
PCL-C35C89B2,PRJ-013,2168543.04,2026194.4,2026194.4,2025-04-22,paid,synthetic
PCL-AA454A9C,PRJ-013,4703334.79,4243777.19,2121888.6,2024-12-27,partial,synthetic
PCL-A935E774,PRJ-013,3602629.61,3091823.48,3091823.48,2024-03-25,paid,synthetic
PCL-64FD76EB,PRJ-013,700929.39,639366.91,639366.91,2024-12-14,paid,synthetic
PCL-67BEEB42,PRJ-013,3702548.17,3415917.37,0.0,,pending,synthetic
PCL-4BD353FE,PRJ-013,1817880.99,1697748.5,1697748.5,2024-11-09,paid,synthetic
PCL-CF39BFCD,PRJ-013,4923631.63,4660483.05,2330241.52,2024-09-22,partial,synthetic
PCL-19F9B70B,PRJ-013,2982406.58,2775899.4,2775899.4,2025-02-08,paid,synthetic
PCL-BFEB753A,PRJ-013,2722056.44,2532846.56,0.0,,pending,synthetic
PCL-92D4CABB,PRJ-013,1966009.05,1959083.1,1959083.1,2025-02-12,paid,synthetic
PCL-C1373AA8,PRJ-013,4360113.89,3905097.89,0.0,,pending,synthetic
PCL-CEBB6314,PRJ-013,2476443.66,2118782.86,2118782.86,2025-03-16,paid,synthetic
PCL-11EA654C,PRJ-013,4328242.5,3982987.54,3982987.54,2025-05-11,paid,synthetic
PCL-DF36103C,PRJ-013,4399291.44,4119310.05,2059655.02,2024-06-15,partial,synthetic
PCL-6F8D5775,PRJ-013,1965984.11,1932278.68,966139.34,2024-12-06,partial,synthetic
PCL-16B0BF86,PRJ-015,4440513.29,4290079.41,4290079.41,2024-10-02,paid,synthetic
PCL-7BE86239,PRJ-015,1354459.16,1307462.57,1307462.57,2024-09-14,paid,synthetic
PCL-E64E0226,PRJ-015,2099135.65,1844817.02,0.0,,pending,synthetic
PCL-BD09538E,PRJ-015,4141611.57,3822362.91,3822362.91,2025-01-06,paid,synthetic
PCL-F2D365AA,PRJ-015,1528833.3,1378366.54,1378366.54,2024-03-17,paid,synthetic
PCL-56441DE5,PRJ-015,2118393.78,2041475.25,1020737.62,2024-09-08,partial,synthetic
PCL-4912D992,PRJ-015,3454101.47,3239182.1,1619591.05,2024-05-15,partial,synthetic
PCL-68D7695B,PRJ-015,1452545.46,1430941.18,1430941.18,2024-09-05,paid,synthetic
PCL-C1AD2E1F,PRJ-015,4921270.47,4713735.37,0.0,,pending,synthetic
PCL-BB5E4957,PRJ-015,4478720.81,4276764.52,4276764.52,2025-01-08,paid,synthetic
PCL-D5E201F9,PRJ-015,4044556.84,3938437.97,0.0,,pending,synthetic
PCL-8AFA3581,PRJ-015,2959875.66,2806469.43,2806469.43,2024-04-04,paid,synthetic
PCL-30984175,PRJ-015,2845182.88,2473064.14,2473064.14,2025-01-25,paid,synthetic
PCL-1C7FCD94,PRJ-015,1964838.47,1824669.26,0.0,,pending,synthetic
PCL-E86AB94C,PRJ-015,1006329.77,872446.23,872446.23,2024-04-12,paid,synthetic
PCL-6B8BAAF0,PRJ-015,4302671.95,4143715.85,0.0,,pending,synthetic
PCL-D926CA05,PRJ-015,1578372.36,1369383.9,1369383.9,2024-10-28,paid,synthetic
PCL-1DBA5BE1,PRJ-015,1797917.74,1673673.9,836836.95,2024-06-22,partial,synthetic
PCL-3C9FC23F,PRJ-015,1453516.25,1237974.99,618987.5,2025-01-11,partial,synthetic
PCL-63E88CA0,PRJ-015,4830369.07,4320095.56,0.0,,pending,synthetic
PCL-3085CC3D,PRJ-015,2039599.75,1757741.28,1757741.28,2024-07-18,paid,synthetic
PCL-A84D0452,PRJ-015,1360742.25,1298635.47,0.0,,pending,synthetic
PCL-373A9667,PRJ-015,2854034.33,2459818.96,1229909.48,2024-03-30,partial,synthetic
PCL-595E704E,PRJ-015,1213564.39,1108143.94,1108143.94,2024-07-17,paid,synthetic
PCL-F487EC21,PRJ-015,887654.3,831937.19,831937.19,2024-12-31,paid,synthetic
PCL-7DEFD407,PRJ-015,4275136.55,4096797.89,0.0,,pending,synthetic
PCL-5392F196,PRJ-015,1478779.39,1301275.6,0.0,,pending,synthetic
PCL-EC944DF1,PRJ-015,1205786.83,1059928.77,529964.38,2024-06-28,partial,synthetic
PCL-7B3E1A6E,PRJ-015,1055223.89,995191.16,995191.16,2024-09-01,paid,synthetic
PCL-E0C682AE,PRJ-015,4437554.21,4098713.45,4098713.45,2024-12-09,paid,synthetic
PCL-7B759EC6,PRJ-015,915356.62,803248.8,0.0,,pending,synthetic
PCL-4C18538E,PRJ-015,4397166.66,3782629.93,1891314.96,2024-03-10,partial,synthetic
PCL-0C6D1D9C,PRJ-015,1483935.05,1455316.34,1455316.34,2024-08-23,paid,synthetic
PCL-88F374F4,PRJ-015,3968562.97,3495053.28,0.0,,pending,synthetic
PCL-96C5D3A7,PRJ-015,2927848.76,2668734.92,0.0,,pending,synthetic
PCL-0700E5A6,PRJ-015,4171334.43,3791295.49,0.0,,pending,synthetic
PCL-58846226,PRJ-015,4447174.43,4221305.53,0.0,,pending,synthetic
PCL-D153E0A2,PRJ-015,4279250.98,3747035.68,0.0,,pending,synthetic
PCL-9780C4EC,PRJ-015,4967238.99,4238661.81,4238661.81,2024-05-24,paid,synthetic
PCL-7DF4AF8B,PRJ-015,1294869.31,1268299.63,634149.81,2025-03-19,partial,synthetic
PCL-CAECBF58,PRJ-015,4949325.29,4428065.41,4428065.41,2024-09-20,paid,synthetic
PCL-7F9BF109,PRJ-015,2052445.74,1816625.2,908312.6,2024-10-15,partial,synthetic
PCL-02DE0A53,PRJ-015,2552322.44,2487144.28,2487144.28,2025-02-28,paid,synthetic
PCL-E3598DD8,PRJ-015,3624666.0,3449438.94,3449438.94,2025-01-25,paid,synthetic
PCL-502BD476,PRJ-015,2465458.35,2176657.99,2176657.99,2024-07-17,paid,synthetic
PCL-BBD086C9,PRJ-015,1652415.73,1571599.43,1571599.43,2024-11-22,paid,synthetic
PCL-991392A7,PRJ-015,1193005.4,1078222.68,1078222.68,2024-06-18,paid,synthetic
PCL-D4B8CF03,PRJ-015,4397293.07,3837903.73,3837903.73,2025-04-03,paid,synthetic
PCL-A4AE6C5C,PRJ-015,3619100.23,3278608.96,3278608.96,2025-03-18,paid,synthetic
PCL-F9F87815,PRJ-017,2285692.35,2275141.09,2275141.09,2025-01-14,paid,synthetic
PCL-166DFBCC,PRJ-017,4780601.83,4212796.79,2106398.4,2024-04-13,partial,synthetic
PCL-90C17C5A,PRJ-017,1288978.23,1166233.84,0.0,,pending,synthetic
PCL-21407FE4,PRJ-017,4657579.59,4123315.46,0.0,,pending,synthetic
PCL-BA1864CB,PRJ-017,2547496.38,2513212.13,2513212.13,2024-05-12,paid,synthetic
PCL-A7113D8F,PRJ-017,4992696.15,4816189.69,4816189.69,2024-12-10,paid,synthetic
PCL-E055F4D8,PRJ-017,2452637.63,2166673.5,1083336.75,2024-12-24,partial,synthetic
PCL-790B1DF8,PRJ-017,2034570.71,1869271.24,934635.62,2024-09-03,partial,synthetic
PCL-B4882303,PRJ-017,4387435.81,4137983.03,0.0,,pending,synthetic
PCL-333B4F4A,PRJ-017,3209462.19,2898684.61,0.0,,pending,synthetic
PCL-ADC5CACB,PRJ-019,3887316.57,3777141.8,3777141.8,2024-03-12,paid,synthetic
PCL-CD3AF45F,PRJ-019,3536953.28,3452968.92,3452968.92,2024-12-15,paid,synthetic
PCL-26540EC1,PRJ-019,1507477.23,1389585.97,0.0,,pending,synthetic
PCL-6F7306D5,PRJ-019,4962562.15,4641654.99,2320827.5,2024-07-21,partial,synthetic
PCL-6D2B81EF,PRJ-019,3058458.84,2654251.84,1327125.92,2024-12-15,partial,synthetic
PCL-F0ECB5D1,PRJ-019,2198549.19,2088911.51,1044455.76,2024-06-06,partial,synthetic
PCL-BA4D8E07,PRJ-019,4872434.33,4734451.81,4734451.81,2024-12-21,paid,synthetic
PCL-7A13A671,PRJ-019,803869.44,714942.0,714942.0,2025-03-11,paid,synthetic
PCL-7A5F76A2,PRJ-019,3558632.01,3048204.94,3048204.94,2024-06-03,paid,synthetic
PCL-FBCD234B,PRJ-019,2034144.25,1952418.95,1952418.95,2025-04-24,paid,synthetic
PCL-AC70DA24,PRJ-019,3194361.59,2825316.6,2825316.6,2024-03-25,paid,synthetic
PCL-933ED8DE,PRJ-019,555085.68,532274.69,266137.34,2024-11-10,partial,synthetic
PCL-795DD766,PRJ-021,3171687.84,2790172.91,1395086.46,2024-06-30,partial,synthetic
PCL-40B0DFF6,PRJ-021,4485487.2,4360486.61,4360486.61,2024-08-09,paid,synthetic
PCL-B0CBC4D9,PRJ-021,1829240.52,1759643.65,879821.82,2024-09-20,partial,synthetic
PCL-49FD5471,PRJ-021,1733279.47,1715356.44,0.0,,pending,synthetic
PCL-36450E30,PRJ-021,3293654.11,2961107.36,0.0,,pending,synthetic
PCL-8C66377E,PRJ-021,2689427.74,2397056.72,1198528.36,2024-07-09,partial,synthetic
PCL-3C9AC27E,PRJ-021,1410517.86,1402846.04,0.0,,pending,synthetic
PCL-309D69AD,PRJ-021,2840274.15,2760223.18,1380111.59,2024-06-10,partial,synthetic
PCL-6BFCABFD,PRJ-021,1265313.23,1237748.48,1237748.48,2025-02-08,paid,synthetic
PCL-3AFD3620,PRJ-021,2628818.62,2622757.56,2622757.56,2024-10-02,paid,synthetic
