parcel_id,project_id,stage,stage_order,stage_start_date,stage_target_date,stage_completion_date,days_in_stage,sla_days,sla_breach,is_current_stage,data_source
PCL-FEAFDC05,PRJ-001,Survey/Parcel Mapping,1,2024-04-06,2024-05-06,2024-05-12,36,30,1,0,synthetic
PCL-FEAFDC05,PRJ-001,Ownership Verification,2,2024-05-12,2024-06-26,2024-06-21,40,45,0,0,synthetic
PCL-FEAFDC05,PRJ-001,Notification,3,2024-06-21,2024-07-11,,437,20,1,1,synthetic
PCL-544DE2D8,PRJ-001,Land Identification,0,2024-01-29,2024-02-13,,581,15,1,1,synthetic
PCL-6F2D780C,PRJ-001,Land Identification,0,2024-03-17,2024-04-01,2024-03-30,13,15,0,0,synthetic
PCL-6F2D780C,PRJ-001,Survey/Parcel Mapping,1,2024-03-30,2024-04-29,2024-04-21,22,30,0,0,synthetic
PCL-6F2D780C,PRJ-001,Ownership Verification,2,2024-04-21,2024-06-05,2024-06-04,44,45,0,0,synthetic
PCL-6F2D780C,PRJ-001,Notification,3,2024-06-04,2024-06-24,2024-06-28,24,20,1,0,synthetic
PCL-6F2D780C,PRJ-001,Objections/Hearings,4,2024-06-28,2024-07-28,2024-08-10,43,30,1,0,synthetic
PCL-6F2D780C,PRJ-001,Compensation Assessment,5,2024-08-10,2024-09-19,,387,40,1,1,synthetic
PCL-B30BBE20,PRJ-001,Land Identification,0,2024-01-30,2024-02-14,2024-02-17,18,15,1,0,synthetic
PCL-B30BBE20,PRJ-001,Survey/Parcel Mapping,1,2024-02-17,2024-03-18,2024-03-22,34,30,1,0,synthetic
PCL-B30BBE20,PRJ-001,Ownership Verification,2,2024-03-22,2024-05-06,2024-05-06,45,45,0,0,synthetic
PCL-B30BBE20,PRJ-001,Notification,3,2024-05-06,2024-05-26,2024-06-02,27,20,1,0,synthetic
PCL-B30BBE20,PRJ-001,Objections/Hearings,4,2024-06-02,2024-07-02,,456,30,1,1,synthetic
PCL-3351F300,PRJ-001,Land Identification,0,2024-01-01,2024-01-16,2024-01-15,14,15,0,0,synthetic
PCL-3351F300,PRJ-001,Survey/Parcel Mapping,1,2024-01-15,2024-02-14,2024-02-08,24,30,0,0,synthetic
PCL-3351F300,PRJ-001,Ownership Verification,2,2024-02-08,2024-03-24,2024-03-22,43,45,0,0,synthetic
PCL-3351F300,PRJ-001,Notification,3,2024-03-22,2024-04-11,2024-04-10,19,20,0,0,synthetic
PCL-3351F300,PRJ-001,Objections/Hearings,4,2024-04-10,2024-05-10,2024-05-15,35,30,1,0,synthetic
PCL-3351F300,PRJ-001,Compensation Assessment,5,2024-05-15,2024-06-24,2024-06-06,22,40,0,0,synthetic
PCL-3351F300,PRJ-001,Compensation Disbursement,6,2024-06-06,2024-07-06,2024-07-13,37,30,1,0,synthetic
PCL-3351F300,PRJ-001,Rehabilitation & Resettlement,7,2024-07-13,2024-09-11,,415,60,1,1,synthetic
PCL-42E866A4,PRJ-001,Land Identification,0,2024-03-20,2024-04-04,2024-04-10,21,15,1,0,synthetic
PCL-42E866A4,PRJ-001,Survey/Parcel Mapping,1,2024-04-10,2024-05-10,2024-05-08,28,30,0,0,synthetic
