parcel_id,project_id,dispute_type,dispute_status,case_date,days_pending,administrative_impact,data_source
PCL-21818D1D,PRJ-005,ownership_claim,under_review,2024-02-10,569,blocks_payment,synthetic
PCL-8D6CD67E,PRJ-005,inheritance,under_review,2024-02-18,561,blocks_possession,synthetic
PCL-3B5E96D1,PRJ-005,compensation_amount,open,2024-11-19,286,blocks_payment,synthetic
PCL-12140738,PRJ-005,boundary_dispute,resolved,2024-12-05,270,blocks_payment,synthetic
PCL-C57288AE,PRJ-007,boundary_dispute,under_review,2024-02-01,578,blocks_payment,synthetic
PCL-93DA8633,PRJ-009,boundary_dispute,open,2024-10-09,327,blocks_payment,synthetic
PCL-F51B76CB,PRJ-009,ownership_claim,open,2024-08-28,369,informational,synthetic
PCL-173EFE2F,PRJ-009,compensation_amount,resolved,2025-01-22,222,blocks_payment,synthetic
PCL-D2ACD24E,PRJ-009,boundary_dispute,open,2024-11-03,302,informational,synthetic
PCL-14D73A6A,PRJ-009,compensation_amount,under_review,2024-11-06,299,blocks_payment,synthetic
PCL-13F9FB9B,PRJ-009,boundary_dispute,under_review,2024-06-13,445,blocks_payment,synthetic
PCL-0A0C5266,PRJ-009,inheritance,under_review,2024-02-20,559,blocks_payment,synthetic
PCL-DFC95F12,PRJ-009,inheritance,open,2024-11-05,300,blocks_payment,synthetic
PCL-29B1D943,PRJ-009,ownership_claim,under_review,2024-11-11,294,informational,synthetic
PCL-DB7696B8,PRJ-009,inheritance,resolved,2024-06-18,440,blocks_payment,synthetic
PCL-E23DEFE7,PRJ-009,ownership_claim,under_review,2024-07-24,404,blocks_possession,synthetic
PCL-3A541E84,PRJ-009,inheritance,open,2024-03-16,534,informational,synthetic
PCL-C185C3EB,PRJ-009,inheritance,open,2024-05-21,468,blocks_payment,synthetic
PCL-DB24250C,PRJ-009,boundary_dispute,open,2024-05-30,459,blocks_payment,synthetic
PCL-003034CE,PRJ-009,ownership_claim,under_review,2024-10-11,325,blocks_possession,synthetic
PCL-3FBF1F32,PRJ-009,inheritance,resolved,2024-03-24,526,blocks_possession,synthetic
PCL-36641D2A,PRJ-009,inheritance,open,2024-02-05,574,blocks_payment,synthetic
PCL-975DF8B5,PRJ-009,boundary_dispute,open,2025-01-18,226,informational,synthetic
PCL-11CF98D3,PRJ-009,boundary_dispute,open,2024-01-25,585,blocks_possession,synthetic
PCL-76508B5B,PRJ-009,ownership_claim,open,2025-01-31,213,blocks_possession,synthetic
PCL-4D1F19B7,PRJ-009,ownership_claim,open,2025-01-22,222,blocks_possession,synthetic
PCL-891138AB,PRJ-009,compensation_amount,under_review,2025-01-09,235,blocks_payment,synthetic
PCL-E2B21FE0,PRJ-009,ownership_claim,under_review,2024-02-29,550,blocks_possession,synthetic
PCL-B73C8116,PRJ-009,inheritance,open,2024-08-10,387,blocks_payment,synthetic
PCL-044BC0DB,PRJ-009,compensation_amount,under_review,2024-02-29,550,informational,synthetic
PCL-B8B3FAFB,PRJ-009,ownership_claim,resolved,2024-10-27,309,informational,synthetic
PCL-56B59E70,PRJ-009,inheritance,resolved,2024-08-29,368,blocks_possession,synthetic
PCL-66514CC9,PRJ-009,ownership_claim,open,2024-10-07,329,blocks_payment,synthetic
PCL-FAC0BECA,PRJ-009,boundary_dispute,open,2024-12-28,247,blocks_possession,synthetic
PCL-8816C774,PRJ-009,inheritance,open,2024-06-02,456,blocks_payment,synthetic
PCL-602B02F6,PRJ-009,compensation_amount,under_review,2024-02-02,577,blocks_possession,synthetic
PCL-A59E6875,PRJ-011,ownership_claim,resolved,2024-06-14,444,blocks_possession,synthetic
PCL-DFB64283,PRJ-011,inheritance,open,2024-09-19,347,blocks_possession,synthetic
PCL-DBAB655B,PRJ-011,inheritance,under_review,2024-11-14,291,informational,synthetic
PCL-A7FFCF4F,PRJ-011,compensation_amount,open,2024-01-10,600,informational,synthetic
PCL-28D55200,PRJ-011,compensation_amount,open,2024-10-29,307,blocks_payment,synthetic
PCL-3B191FAB,PRJ-011,ownership_claim,resolved,2024-07-26,402,blocks_payment,synthetic
PCL-2451C40D,PRJ-011,inheritance,under_review,2024-11-28,277,blocks_payment,synthetic
PCL-D22B92D0,PRJ-013,boundary_dispute,open,2024-09-01,365,blocks_payment,synthetic
PCL-E7B9FA6C,PRJ-013,compensation_amount,under_review,2024-06-22,436,informational,synthetic
PCL-487ADC81,PRJ-013,ownership_claim,open,2024-05-11,478,blocks_payment,synthetic
PCL-00EDE25B,PRJ-013,compensation_amount,open,2025-02-02,211,blocks_possession,synthetic
PCL-FD73A330,PRJ-013,inheritance,resolved,2024-12-09,266,blocks_possession,synthetic
PCL-31CDBD28,PRJ-013,ownership_claim,open,2024-07-04,424,blocks_possession,synthetic
PCL-ABB0185F,PRJ-013,compensation_amount,open,2024-03-12,538,informational,synthetic
PCL-2A131EF6,PRJ-013,ownership_claim,under_review,2024-12-25,250,blocks_possession,synthetic
PCL-048EEE08,PRJ-013,ownership_claim,open,2024-07-12,416,informational,synthetic
PCL-787AC3B7,PRJ-013,ownership_claim,open,2024-01-29,581,informational,synthetic
PCL-4BD353FE,PRJ-013,ownership_claim,resolved,2024-10-19,317,blocks_payment,synthetic
PCL-92D4CABB,PRJ-013,compensation_amount,open,2024-12-20,255,blocks_payment,synthetic
PCL-C8B404B8,PRJ-013,compensation_amount,open,2024-08-28,369,informational,synthetic
PCL-11EA654C,PRJ-013,compensation_amount,under_review,2024-09-24,342,informational,synthetic
PCL-6F8D5775,PRJ-013,boundary_dispute,under_review,2024-12-24,251,blocks_possession,synthetic
PCL-88606C09,PRJ-015,ownership_claim,under_review,2025-01-29,215,blocks_possession,synthetic
PCL-58846226,PRJ-015,inheritance,open,2024-10-10,326,blocks_payment,synthetic
PCL-767874AF,PRJ-017,boundary_dispute,open,2024-10-15,321,blocks_payment,synthetic
PCL-166DFBCC,PRJ-017,inheritance,resolved,2024-10-14,322,blocks_possession,synthetic
PCL-DEE65572,PRJ-017,ownership_claim,open,2024-07-12,416,blocks_possession,synthetic
PCL-790B1DF8,PRJ-017,ownership_claim,resolved,2024-05-04,485,blocks_possession,synthetic
PCL-B4882303,PRJ-017,inheritance,open,2024-06-09,449,blocks_possession,synthetic
PCL-D4CC0603,PRJ-017,inheritance,open,2024-08-29,368,blocks_possession,synthetic
PCL-87E46F40,PRJ-019,boundary_dispute,open,2024-08-18,379,blocks_payment,synthetic
PCL-6D2B81EF,PRJ-019,ownership_claim,open,2024-11-10,295,blocks_possession,synthetic
PCL-BA4D8E07,PRJ-019,boundary_dispute,under_review,2024-05-15,474,blocks_possession,synthetic
PCL-1A14B501,PRJ-019,compensation_amount,resolved,2024-02-11,568,blocks_possession,synthetic
PCL-7A5F76A2,PRJ-019,inheritance,open,2025-01-01,243,blocks_possession,synthetic
PCL-4E558432,PRJ-019,boundary_dispute,open,2024-02-13,566,blocks_payment,synthetic
PCL-B14B24A8,PRJ-019,inheritance,resolved,2024-10-10,326,blocks_payment,synthetic
PCL-0330ACD6,PRJ-019,boundary_dispute,open,2024-04-15,504,blocks_possession,synthetic
PCL-8C66377E,PRJ-021,ownership_claim,resolved,2024-04-17,502,blocks_payment,synthetic
PCL-3C9AC27E,PRJ-021,compensation_amount,resolved,2024-02-18,561,blocks_payment,synthetic
PCL-8677B61D,PRJ-021,boundary_dispute,under_review,2025-01-22,222,informational,synthetic
PCL-3AFD3620,PRJ-021,inheritance,under_review,2024-06-24,434,informational,synthetic
PCL-CEE67DC0,PRJ-021,inheritance,open,2024-10-27,309,blocks_possession,synthetic
PCL-96804757,PRJ-021,compensation_amount,open,2024-02-24,555,blocks_possession,synthetic
PCL-DE0261D0,PRJ-021,ownership_claim,open,2024-05-05,484,blocks_payment,synthetic
PCL-F24A3094,PRJ-021,inheritance,resolved,2024-04-18,501,blocks_possession,synthetic
PCL-94A43246,PRJ-023,compensation_amount,open,2024-10-12,324,informational,synthetic
PCL-9C219FDA,PRJ-023,ownership_claim,under_review,2024-05-17,472,blocks_payment,synthetic
PCL-3D82693A,PRJ-023,ownership_claim,open,2024-07-01,427,blocks_payment,synthetic
PCL-28FBBF1A,PRJ-023,inheritance,resolved,2024-01-18,592,blocks_payment,synthetic
PCL-6058ADBF,PRJ-023,boundary_dispute,under_review,2024-07-29,399,blocks_possession,synthetic
PCL-C739F0B0,PRJ-023,ownership_claim,open,2024-11-05,300,blocks_payment,synthetic
PCL-AE6E8E6E,PRJ-023,compensation_amount,open,2024-12-17,258,blocks_possession,synthetic
PCL-9B941E28,PRJ-023,compensation_amount,under_review,2024-06-12,446,informational,synthetic
PCL-9A4A3EBD,PRJ-023,compensation_amount,open,2024-12-21,254,blocks_payment,synthetic
PCL-0A5F8E8F,PRJ-023,inheritance,under_review,2024-06-28,430,blocks_possession,synthetic
PCL-F31EEF30,PRJ-025,compensation_amount,under_review,2024-09-22,344,blocks_payment,synthetic
PCL-43543070,PRJ-025,inheritance,under_review,2024-04-06,513,blocks_possession,synthetic
PCL-78E22FCE,PRJ-025,compensation_amount,under_review,2025-01-24,220,blocks_payment,synthetic
PCL-2C42721E,PRJ-025,ownership_claim,resolved,2024-11-27,278,blocks_possession,synthetic
PCL-4773B1BB,PRJ-025,ownership_claim,under_review,2024-10-10,326,blocks_possession,synthetic
PCL-701CB8D3,PRJ-025,boundary_dispute,under_review,2024-08-16,381,informational,synthetic
PCL-C98C9C14,PRJ-025,compensation_amount,resolved,2024-11-05,300,informational,synthetic
PCL-CC0EB917,PRJ-025,boundary_dispute,open,2024-11-25,280,blocks_payment,synthetic
PCL-E079ED22,PRJ-025,ownership_claim,open,2024-12-31,244,blocks_possession,synthetic
PCL-1A1685C8,PRJ-027,ownership_claim,under_review,2025-01-22,222,blocks_possession,synthetic
PCL-6E9120B6,PRJ-027,ownership_claim,under_review,2024-03-06,544,blocks_possession,synthetic
PCL-C06DAE69,PRJ-029,compensation_amount,open,2024-05-06,483,blocks_possession,synthetic
PCL-E03585FB,PRJ-029,boundary_dispute,under_review,2024-04-07,512,blocks_possession,synthetic
PCL-C212C079,PRJ-029,inheritance,under_review,2024-09-05,361,blocks_payment,synthetic
PCL-14EEEB1F,PRJ-029,boundary_dispute,open,2025-01-27,217,informational,synthetic
PCL-9038D6AC,PRJ-029,boundary_dispute,open,2024-01-13,597,informational,synthetic
PCL-1FF27D24,PRJ-029,ownership_claim,under_review,2024-11-26,279,blocks_possession,synthetic
PCL-B07FABEF,PRJ-029,compensation_amount,open,2024-08-09,388,blocks_possession,synthetic
PCL-A952C5C7,PRJ-029,boundary_dispute,open,2024-05-08,481,blocks_payment,synthetic
PCL-6B577933,PRJ-029,ownership_claim,open,2024-11-24,281,blocks_payment,synthetic
PCL-0BE8D21B,PRJ-029,ownership_claim,open,2024-02-24,555,blocks_possession,synthetic
PCL-79089917,PRJ-029,ownership_claim,under_review,2024-05-02,487,blocks_payment,synthetic
PCL-8C292567,PRJ-029,ownership_claim,under_review,2024-02-09,570,informational,synthetic
PCL-1A387FC9,PRJ-029,compensation_amount,open,2024-07-28,400,informational,synthetic
PCL-9A0EB1D7,PRJ-029,ownership_claim,resolved,2024-04-10,509,blocks_possession,synthetic
PCL-4BFB44F0,PRJ-029,boundary_dispute,open,2024-11-25,280,blocks_possession,synthetic
PCL-0C339FD8,PRJ-029,boundary_dispute,open,2024-10-31,305,blocks_possession,synthetic
PCL-F58D563F,PRJ-029,ownership_claim,open,2024-04-09,510,blocks_payment,synthetic
PCL-89DD88AE,PRJ-029,compensation_amount,resolved,2024-03-19,531,informational,synthetic
