project_id,snapshot_date,pending_parcels,completed_parcels,average_stage_days,sla_breaches,compensation_pending,rr_pending,possession_pending,processing_rate,pending_trend,rate_trend,elevated_risk_next_30d,data_source
PRJ-003,2024-07-16,58,25,81.6,7,25.0,15,8,0.112,2,0.009000000000000008,0,synthetic
PRJ-003,2024-07-31,60,23,88.4,26,39.0,8,11,0.107,2,-0.0050000000000000044,0,synthetic
PRJ-003,2024-08-15,63,20,35.4,26,40.0,20,13,0.115,3,0.008000000000000007,0,synthetic
PRJ-003,2024-08-30,63,20,61.2,28,,6,10,0.14,0,0.02500000000000001,0,synthetic
PRJ-003,2024-09-14,63,20,79.7,15,22.0,22,11,0.166,0,0.025999999999999995,1,synthetic
PRJ-003,2024-09-29,66,17,40.2,6,32.0,13,12,0.167,3,0.0010000000000000009,1,synthetic
PRJ-003,2024-10-14,68,15,51.9,34,25.0,11,14,0.141,2,-0.026000000000000023,1,synthetic
PRJ-003,2024-10-29,69,14,43.8,32,34.0,22,13,0.138,1,-0.002999999999999975,1,synthetic
PRJ-003,2024-11-13,71,12,71.3,29,14.0,14,13,0.108,2,-0.030000000000000013,0,synthetic
PRJ-003,2024-11-28,71,12,65.7,7,31.0,7,11,0.099,0,-0.008999999999999994,0,synthetic
PRJ-003,2024-12-13,70,13,86.2,40,26.0,8,8,0.095,-1,-0.0040000000000000036,0,synthetic
PRJ-003,2024-12-28,69,14,31.9,10,13.0,10,15,0.084,-1,-0.010999999999999996,0,synthetic
PRJ-003,2025-01-12,71,12,49.1,32,21.0,11,20,0.063,2,-0.021000000000000005,0,synthetic
PRJ-003,2025-01-27,72,11,88.4,38,45.0,18,8,0.08,1,0.017,0,synthetic
PRJ-003,2025-02-11,74,9,48.0,26,18.0,14,9,0.082,2,0.0020000000000000018,0,synthetic
PRJ-003,2025-02-26,75,8,55.6,21,25.0,24,8,0.095,1,0.012999999999999998,0,synthetic
PRJ-003,2025-03-13,75,8,37.5,36,32.0,28,15,0.113,0,0.018000000000000002,0,synthetic
PRJ-003,2025-03-28,76,7,87.2,17,25.0,30,20,0.133,1,0.020000000000000004,0,synthetic
PRJ-003,2025-04-12,78,5,46.4,12,44.0,30,20,0.119,2,-0.014000000000000012,0,synthetic
PRJ-003,2025-04-27,78,5,20.2,15,45.0,21,21,0.149,0,0.03,0,synthetic
PRJ-003,2025-05-12,77,6,71.9,25,45.0,18,15,0.162,-1,0.013000000000000012,0,synthetic
PRJ-003,2025-05-27,76,7,81.4,42,37.0,20,16,0.176,-1,0.013999999999999985,0,synthetic
PRJ-003,2025-06-11,76,7,25.6,11,40.0,17,17,0.202,0,0.026000000000000023,0,synthetic
PRJ-003,2025-06-26,78,5,31.9,41,50.0,12,11,0.225,2,0.022999999999999993,0,synthetic
PRJ-003,2025-07-11,79,4,87.6,32,27.0,27,20,0.193,1,-0.032,0,synthetic
PRJ-003,2025-07-26,77,6,60.0,39,41.0,9,8,0.168,-2,-0.024999999999999994,0,synthetic
PRJ-005,2024-06-01,46,6,87.2,14,18.0,10,10,0.01,0,0.0,0,synthetic
PRJ-005,2024-06-16,46,6,29.1,21,15.0,9,13,0.023,0,0.013,0,synthetic
PRJ-005,2024-07-01,48,4,32.5,17,14.0,17,5,0.036,2,0.012999999999999998,0,synthetic
PRJ-005,2024-07-16,49,3,84.2,24,14.0,13,12,0.051,1,0.015,1,synthetic
PRJ-005,2024-07-31,50,2,39.0,24,10.0,13,11,0.052,1,0.0010000000000000009,0,synthetic
PRJ-005,2024-08-15,50,2,80.8,29,13.0,19,9,0.03,0,-0.022,0,synthetic
PRJ-005,2024-08-30,50,2,57.4,19,22.0,9,8,0.084,0,0.054000000000000006,0,synthetic
PRJ-005,2024-09-14,50,2,77.4,14,33.0,13,7,0.09,0,0.0059999999999999915,0,synthetic
PRJ-005,2024-09-29,50,2,57.0,17,11.0,16,7,0.059,0,-0.031,0,synthetic
PRJ-005,2024-10-14,50,2,56.3,18,25.0,7,14,0.056,0,-0.0029999999999999957,0,synthetic
PRJ-005,2024-10-29,50,2,23.8,5,34.0,7,7,0.093,0,0.037,0,synthetic
PRJ-005,2024-11-13,50,2,68.1,23,34.0,6,12,0.064,0,-0.028999999999999998,0,synthetic
PRJ-005,2024-11-28,50,2,84.6,14,13.0,8,14,0.011,0,-0.053000000000000005,0,synthetic
PRJ-005,2024-12-13,50,2,86.3,11,26.0,19,7,0.023,0,0.012,0,synthetic
PRJ-005,2024-12-28,50,2,,23,21.0,5,14,0.084,0,0.061000000000000006,0,synthetic
PRJ-005,2025-01-12,50,2,34.2,17,32.0,6,6,0.116,0,0.032,0,synthetic
PRJ-005,2025-01-27,50,2,88.0,23,31.0,5,12,0.124,0,0.007999999999999993,0,synthetic
PRJ-005,2025-02-11,50,2,47.1,12,28.0,7,7,0.115,0,-0.008999999999999994,0,synthetic
PRJ-005,2025-02-26,50,2,44.4,9,30.0,9,10,0.125,0,0.009999999999999995,0,synthetic
PRJ-005,2025-03-13,50,2,58.9,10,12.0,10,14,0.193,0,0.068,0,synthetic
PRJ-005,2025-03-28,50,2,30.2,5,12.0,14,10,0.16,0,-0.033,0,synthetic
PRJ-005,2025-04-12,50,2,80.7,19,11.0,6,7,0.159,0,-0.0010000000000000009,0,synthetic
PRJ-005,2025-04-27,50,2,21.9,11,,13,13,0.159,0,0.0,0,synthetic
PRJ-005,2025-05-12,50,2,38.3,22,34.0,10,5,0.191,0,0.032,0,synthetic
PRJ-005,2025-05-27,50,2,31.5,5,18.0,10,6,0.207,0,0.015999999999999986,0,synthetic
PRJ-005,2025-06-11,50,2,87.0,27,17.0,6,8,0.198,0,-0.00899999999999998,0,synthetic
PRJ-005,2025-06-26,50,2,16.3,9,21.0,13,9,0.164,0,-0.034,0,synthetic
PRJ-005,2025-07-11,50,2,89.5,15,30.0,8,5,0.179,0,0.014999999999999986,0,synthetic
PRJ-005,2025-07-26,50,2,51.8,9,20.0,13,6,0.184,0,0.0050000000000000044,0,synthetic
PRJ-007,2024-06-01,21,11,60.1,9,10.0,7,4,0.089,0,0.0,0,synthetic
PRJ-007,2024-06-16,21,11,84.6,6,5.0,7,4,0.08,0,-0.008999999999999994,1,synthetic
PRJ-007,2024-07-01,21,11,40.6,8,13.0,7,5,0.077,0,-0.0030000000000000027,1,synthetic
PRJ-007,2024-07-16,23,9,19.5,6,8.0,7,4,0.055,2,-0.022,0,synthetic
PRJ-007,2024-07-31,23,9,32.0,10,8.0,8,3,0.01,0,-0.045,0,synthetic
PRJ-007,2024-08-15,23,9,48.9,4,7.0,3,4,0.01,0,0.0,0,synthetic
PRJ-007,2024-08-30,23,9,89.7,5,6.0,3,3,0.01,0,0.0,0,synthetic
PRJ-007,2024-09-14,24,8,26.4,8,5.0,5,4,0.029,1,0.019000000000000003,1,synthetic
PRJ-007,2024-09-29,25,7,23.8,3,11.0,8,3,0.026,1,-0.0030000000000000027,1,synthetic
PRJ-007,2024-10-14,25,7,35.6,14,10.0,9,2,0.01,0,-0.016,0,synthetic
PRJ-007,2024-10-29,26,6,81.2,7,11.0,8,3,0.016,1,0.006,0,synthetic
PRJ-007,2024-11-13,26,6,,3,9.0,8,4,0.01,0,-0.006,0,synthetic
PRJ-007,2024-11-28,27,5,80.5,7,9.0,4,5,0.03,1,0.019999999999999997,0,synthetic
PRJ-007,2024-12-13,26,6,49.2,6,14.0,3,7,0.021,-1,-0.008999999999999998,0,synthetic
PRJ-007,2024-12-28,26,6,57.5,13,7.0,6,5,0.01,0,-0.011000000000000001,0,synthetic
PRJ-007,2025-01-12,26,6,50.0,10,16.0,7,7,0.01,0,0.0,0,synthetic
PRJ-007,2025-01-27,26,6,44.9,8,8.0,4,6,0.037,0,0.026999999999999996,1,synthetic
PRJ-007,2025-02-11,28,4,17.3,10,10.0,4,4,0.018,2,-0.019,0,synthetic
PRJ-007,2025-02-26,27,5,45.9,15,5.0,3,7,0.014,-1,-0.003999999999999998,0,synthetic
PRJ-007,2025-03-13,28,4,89.1,15,10.0,5,7,0.01,1,-0.004,0,synthetic
PRJ-007,2025-03-28,29,3,32.4,5,16.0,9,7,0.036,1,0.025999999999999995,1,synthetic
PRJ-007,2025-04-12,29,3,86.2,5,8.0,3,3,0.01,0,-0.025999999999999995,0,synthetic
PRJ-007,2025-04-27,30,2,42.5,9,16.0,7,8,0.01,1,0.0,0,synthetic
PRJ-007,2025-05-12,30,2,47.7,9,19.0,9,7,0.01,0,0.0,0,synthetic
PRJ-007,2025-05-27,29,3,34.5,3,8.0,9,8,0.01,-1,0.0,0,synthetic
PRJ-007,2025-06-11,30,2,40.0,17,19.0,4,4,0.025,1,0.015000000000000001,0,synthetic
PRJ-007,2025-06-26,30,2,76.2,3,17.0,6,6,0.01,0,-0.015000000000000001,0,synthetic
PRJ-007,2025-07-11,29,3,15.5,12,19.0,10,5,0.022,-1,0.011999999999999999,0,synthetic
PRJ-007,2025-07-26,30,2,53.4,4,19.0,9,7,0.047,1,0.025,1,synthetic
PRJ-009,2024-06-01,59,9,30.8,18,29.0,9,14,0.123,0,0.0,1,synthetic
PRJ-009,2024-06-16,61,7,69.5,23,33.0,16,6,0.086,2,-0.037000000000000005,1,synthetic
PRJ-009,2024-07-01,64,4,24.3,31,40.0,22,14,0.053,3,-0.032999999999999995,0,synthetic
PRJ-009,2024-07-16,65,3,65.9,21,33.0,22,15,0.057,1,0.0040000000000000036,0,synthetic
PRJ-009,2024-07-31,66,2,34.3,11,39.0,17,6,0.059,1,0.001999999999999995,0,synthetic
PRJ-009,2024-08-15,66,2,87.9,29,40.0,19,14,0.01,0,-0.048999999999999995,0,synthetic
PRJ-009,2024-08-30,66,2,43.7,34,,15,11,0.032,0,0.022,0,synthetic
PRJ-009,2024-09-14,66,2,30.5,20,45.0,8,13,0.092,0,0.06,0,synthetic
PRJ-009,2024-09-29,66,2,19.7,7,29.0,24,16,0.092,0,0.0,0,synthetic
PRJ-009,2024-10-14,66,2,31.4,13,36.0,22,8,0.142,0,0.04999999999999999,0,synthetic
PRJ-009,2024-10-29,66,2,75.9,24,38.0,10,8,0.145,0,0.0030000000000000027,0,synthetic
PRJ-009,2024-11-13,66,2,48.1,38,30.0,25,8,0.14,0,-0.004999999999999977,0,synthetic
PRJ-009,2024-11-28,66,2,,19,,8,11,0.185,0,0.044999999999999984,0,synthetic
PRJ-009,2024-12-13,66,2,50.4,37,31.0,9,12,0.232,0,0.047000000000000014,0,synthetic
PRJ-009,2024-12-28,66,2,50.1,7,43.0,7,15,0.209,0,-0.02300000000000002,0,synthetic
PRJ-009,2025-01-12,66,2,25.8,19,32.0,19,9,0.253,0,0.04400000000000001,0,synthetic
PRJ-009,2025-01-27,66,2,74.6,28,28.0,14,13,0.248,0,-0.0050000000000000044,0,synthetic
PRJ-009,2025-02-11,66,2,53.4,37,29.0,8,9,0.232,0,-0.015999999999999986,0,synthetic
PRJ-009,2025-02-26,66,2,78.7,10,40.0,19,15,0.237,0,0.004999999999999977,0,synthetic
PRJ-009,2025-03-13,66,2,44.2,28,13.0,13,9,0.246,0,0.009000000000000008,0,synthetic
PRJ-009,2025-03-28,66,2,29.5,26,17.0,20,19,0.247,0,0.0010000000000000009,0,synthetic
PRJ-009,2025-04-12,66,2,51.3,21,39.0,20,11,0.22,0,-0.026999999999999996,0,synthetic
PRJ-009,2025-04-27,66,2,57.8,32,19.0,10,12,0.273,0,0.05300000000000002,0,synthetic
PRJ-009,2025-05-12,66,2,22.3,17,45.0,11,18,0.281,0,0.008000000000000007,0,synthetic
PRJ-009,2025-05-27,66,2,78.3,23,43.0,18,11,0.297,0,0.01599999999999996,0,synthetic
PRJ-009,2025-06-11,66,2,29.2,23,29.0,11,9,0.298,0,0.0010000000000000009,0,synthetic
PRJ-009,2025-06-26,66,2,88.9,20,36.0,23,18,0.34,0,0.04200000000000004,0,synthetic
PRJ-009,2025-07-11,66,2,61.2,23,20.0,24,13,0.32,0,-0.020000000000000018,0,synthetic
PRJ-009,2025-07-26,66,2,78.9,7,28.0,13,9,0.318,0,-0.0020000000000000018,0,synthetic
PRJ-011,2024-06-01,30,9,15.7,5,17.0,4,8,0.092,0,0.0,1,synthetic
PRJ-011,2024-06-16,31,8,33.5,7,8.0,9,7,0.095,1,0.0030000000000000027,0,synthetic
PRJ-011,2024-07-01,33,6,65.7,16,9.0,8,7,0.08,2,-0.015,0,synthetic
PRJ-011,2024-07-16,33,6,32.5,13,13.0,13,3,0.094,0,0.013999999999999999,0,synthetic
PRJ-011,2024-07-31,34,5,66.9,9,13.0,8,3,0.088,1,-0.006000000000000005,0,synthetic
PRJ-011,2024-08-15,34,5,65.9,9,6.0,5,7,0.099,0,0.01100000000000001,0,synthetic
PRJ-011,2024-08-30,35,4,16.0,8,24.0,5,4,0.109,1,0.009999999999999995,0,synthetic
PRJ-011,2024-09-14,36,3,20.2,14,8.0,13,3,0.111,1,0.0020000000000000018,0,synthetic
PRJ-011,2024-09-29,38,1,86.6,22,25.0,7,6,0.112,2,0.0010000000000000009,0,synthetic
PRJ-011,2024-10-14,37,2,47.3,7,25.0,9,10,0.127,-1,0.015,0,synthetic
PRJ-011,2024-10-29,37,2,26.9,7,13.0,7,4,0.116,0,-0.010999999999999996,0,synthetic
PRJ-011,2024-11-13,38,1,46.8,9,10.0,5,9,0.148,1,0.03199999999999999,0,synthetic
PRJ-011,2024-11-28,38,1,79.3,18,12.0,6,7,0.128,0,-0.01999999999999999,0,synthetic
PRJ-011,2024-12-13,38,1,58.0,12,15.0,5,10,0.129,0,0.0010000000000000009,0,synthetic
PRJ-011,2024-12-28,38,1,29.0,21,20.0,9,11,0.111,0,-0.018000000000000002,0,synthetic
PRJ-011,2025-01-12,38,1,31.0,11,19.0,6,5,0.113,0,0.0020000000000000018,0,synthetic
PRJ-011,2025-01-27,38,1,19.7,8,23.0,15,8,0.101,0,-0.011999999999999997,0,synthetic
PRJ-011,2025-02-11,38,1,31.0,21,12.0,8,10,0.123,0,0.021999999999999992,0,synthetic
PRJ-011,2025-02-26,38,1,19.1,13,22.0,6,8,0.105,0,-0.018000000000000002,0,synthetic
PRJ-011,2025-03-13,38,1,67.6,19,17.0,11,6,0.065,0,-0.039999999999999994,0,synthetic
PRJ-011,2025-03-28,38,1,21.0,20,8.0,4,4,0.074,0,0.008999999999999994,0,synthetic
PRJ-011,2025-04-12,38,1,69.1,14,15.0,8,4,0.049,0,-0.024999999999999994,0,synthetic
PRJ-011,2025-04-27,38,1,47.8,10,24.0,7,6,0.066,0,0.017,0,synthetic
PRJ-011,2025-05-12,38,1,89.5,12,15.0,11,8,0.056,0,-0.010000000000000002,0,synthetic
PRJ-011,2025-05-27,38,1,55.4,14,10.0,10,8,0.071,0,0.014999999999999993,0,synthetic
PRJ-011,2025-06-11,38,1,54.8,8,9.0,12,6,0.093,0,0.022000000000000006,0,synthetic
PRJ-011,2025-06-26,38,1,,16,16.0,9,10,0.064,0,-0.028999999999999998,0,synthetic
PRJ-011,2025-07-11,38,1,69.9,11,15.0,4,8,0.033,0,-0.031,0,synthetic
PRJ-011,2025-07-26,38,1,35.0,20,14.0,10,4,0.042,0,0.009000000000000001,0,synthetic
PRJ-013,2024-06-01,74,24,23.2,11,43.0,25,14,0.078,0,0.0,0,synthetic
PRJ-013,2024-06-16,79,19,61.5,15,18.0,30,14,0.098,5,0.020000000000000004,0,synthetic
PRJ-013,2024-07-01,83,15,70.3,9,40.0,30,19,0.102,4,0.00399999999999999,0,synthetic
PRJ-013,2024-07-16,84,14,74.6,17,47.0,26,21,0.146,1,0.044,0,synthetic
PRJ-013,2024-07-31,86,12,66.4,18,43.0,14,18,0.189,2,0.04300000000000001,1,synthetic
PRJ-013,2024-08-15,88,10,31.0,20,24.0,16,9,0.209,2,0.01999999999999999,1,synthetic
PRJ-013,2024-08-30,91,7,80.5,36,57.0,34,18,0.179,3,-0.03,1,synthetic
PRJ-013,2024-09-14,92,6,50.9,40,44.0,28,11,0.157,1,-0.021999999999999992,0,synthetic
PRJ-013,2024-09-29,93,5,16.4,13,39.0,33,14,0.16,1,0.0030000000000000027,0,synthetic
PRJ-013,2024-10-14,93,5,74.2,40,22.0,34,22,0.166,0,0.006000000000000005,0,synthetic
PRJ-013,2024-10-29,96,2,88.3,19,36.0,17,10,0.164,3,-0.0020000000000000018,0,synthetic
PRJ-013,2024-11-13,96,2,34.5,43,47.0,19,13,0.164,0,0.0,0,synthetic
PRJ-013,2024-11-28,96,2,63.9,55,38.0,14,21,0.195,0,0.031,0,synthetic
PRJ-013,2024-12-13,96,2,68.5,44,65.0,12,11,0.196,0,0.0010000000000000009,0,synthetic
PRJ-013,2024-12-28,96,2,76.9,16,47.0,25,14,0.179,0,-0.017000000000000015,0,synthetic
PRJ-013,2025-01-12,96,2,82.8,55,19.0,35,27,0.198,0,0.019000000000000017,0,synthetic
PRJ-013,2025-01-27,96,2,89.5,45,27.0,14,10,0.196,0,-0.0020000000000000018,0,synthetic
PRJ-013,2025-02-11,96,2,31.8,41,64.0,23,16,0.202,0,0.006000000000000005,0,synthetic
PRJ-013,2025-02-26,96,2,43.8,14,22.0,12,14,0.225,0,0.022999999999999993,0,synthetic
PRJ-013,2025-03-13,96,2,59.1,54,48.0,25,15,0.217,0,-0.008000000000000007,0,synthetic
PRJ-013,2025-03-28,96,2,39.9,13,20.0,31,13,0.202,0,-0.014999999999999986,0,synthetic
PRJ-013,2025-04-12,96,2,21.1,38,66.0,24,17,0.204,0,0.001999999999999974,0,synthetic
PRJ-013,2025-04-27,96,2,70.5,34,38.0,11,13,0.213,0,0.009000000000000008,0,synthetic
PRJ-013,2025-05-12,96,2,64.2,16,49.0,22,16,0.199,0,-0.013999999999999985,0,synthetic
PRJ-013,2025-05-27,96,2,18.2,14,66.0,31,10,0.187,0,-0.01200000000000001,0,synthetic
PRJ-013,2025-06-11,95,3,87.5,30,54.0,34,25,0.209,-1,0.021999999999999992,0,synthetic
PRJ-013,2025-06-26,96,2,53.4,52,19.0,33,22,0.189,1,-0.01999999999999999,0,synthetic
PRJ-013,2025-07-11,96,2,38.0,33,39.0,12,10,0.193,0,0.0040000000000000036,0,synthetic
PRJ-013,2025-07-26,96,2,36.2,27,23.0,31,17,0.169,0,-0.023999999999999994,0,synthetic
PRJ-015,2024-06-01,40,34,37.6,6,9.0,12,7,0.128,0,0.0,0,synthetic
PRJ-015,2024-06-16,36,38,85.4,13,23.0,11,10,0.108,-4,-0.020000000000000004,0,synthetic
PRJ-015,2024-07-01,32,42,,14,,12,7,0.129,-4,0.021000000000000005,0,synthetic
PRJ-015,2024-07-16,29,45,46.8,10,12.0,7,6,0.146,-3,0.016999999999999987,0,synthetic
PRJ-015,2024-07-31,26,48,26.0,13,13.0,5,6,0.143,-3,-0.0030000000000000027,0,synthetic
PRJ-015,2024-08-15,24,50,,3,8.0,3,4,0.135,-2,-0.00799999999999998,0,synthetic
PRJ-015,2024-08-30,20,54,37.8,8,13.0,5,3,0.121,-4,-0.014000000000000012,0,synthetic
PRJ-015,2024-09-14,15,59,46.3,7,6.0,3,3,0.129,-5,0.008000000000000007,0,synthetic
PRJ-015,2024-09-29,14,60,40.6,7,7.0,2,2,0.147,-1,0.017999999999999988,0,synthetic
PRJ-015,2024-10-14,10,64,83.0,5,3.0,2,1,0.137,-4,-0.009999999999999981,0,synthetic
PRJ-015,2024-10-29,6,68,19.2,1,3.0,1,0,0.16,-4,0.022999999999999993,0,synthetic
PRJ-015,2024-11-13,3,71,29.7,0,1.0,1,0,0.156,-3,-0.0040000000000000036,0,synthetic
PRJ-015,2024-11-28,3,71,23.3,0,1.0,0,0,0.162,0,0.006000000000000005,0,synthetic
PRJ-015,2024-12-13,3,71,20.0,1,1.0,1,0,0.183,0,0.02099999999999999,0,synthetic
PRJ-015,2024-12-28,3,71,30.6,0,1.0,1,0,0.169,0,-0.013999999999999985,0,synthetic
PRJ-015,2025-01-12,3,71,47.4,1,1.0,1,0,0.153,0,-0.016000000000000014,0,synthetic
PRJ-015,2025-01-27,3,71,80.6,0,1.0,0,0,0.163,0,0.010000000000000009,0,synthetic
PRJ-015,2025-02-11,3,71,76.0,0,0.0,1,0,0.16,0,-0.0030000000000000027,0,synthetic
PRJ-015,2025-02-26,3,71,58.1,1,1.0,0,0,0.142,0,-0.018000000000000016,0,synthetic
PRJ-015,2025-03-13,3,71,89.6,0,1.0,0,0,0.157,0,0.015000000000000013,0,synthetic
PRJ-015,2025-03-28,3,71,30.8,1,0.0,1,0,0.13,0,-0.026999999999999996,0,synthetic
PRJ-015,2025-04-12,3,71,55.7,1,1.0,0,0,0.133,0,0.0030000000000000027,0,synthetic
PRJ-015,2025-04-27,3,71,18.9,1,1.0,0,0,0.141,0,0.00799999999999998,0,synthetic
PRJ-015,2025-05-12,3,71,31.1,0,0.0,1,0,0.127,0,-0.013999999999999985,0,synthetic
PRJ-015,2025-05-27,3,71,88.8,1,1.0,0,0,0.097,0,-0.03,0,synthetic
PRJ-015,2025-06-11,3,71,69.2,1,1.0,1,0,0.054,0,-0.043000000000000003,0,synthetic
PRJ-015,2025-06-26,3,71,71.0,0,1.0,0,0,0.023,0,-0.031,0,synthetic
PRJ-015,2025-07-11,3,71,33.8,1,1.0,0,0,0.018,0,-0.005000000000000001,0,synthetic
PRJ-015,2025-07-26,3,71,72.6,1,1.0,0,0,0.01,0,-0.007999999999999998,0,synthetic
PRJ-017,2024-06-01,19,3,24.1,5,7.0,5,4,0.055,0,0.0,1,synthetic
PRJ-017,2024-06-16,19,3,21.7,4,5.0,3,3,0.019,0,-0.036000000000000004,0,synthetic
PRJ-017,2024-07-01,20,2,40.4,5,9.0,2,2,0.032,1,0.013000000000000001,1,synthetic
PRJ-017,2024-07-16,20,2,23.5,5,6.0,3,5,0.056,0,0.024,1,synthetic
PRJ-017,2024-07-31,21,1,54.8,8,12.0,3,4,0.029,1,-0.027,0,synthetic
PRJ-017,2024-08-15,21,1,,5,9.0,5,5,0.02,0,-0.009000000000000001,0,synthetic
PRJ-017,2024-08-30,21,1,32.1,3,14.0,4,2,0.018,0,-0.0020000000000000018,0,synthetic
PRJ-017,2024-09-14,21,1,88.4,7,14.0,4,3,0.01,0,-0.007999999999999998,0,synthetic
PRJ-017,2024-09-29,21,1,79.4,8,9.0,2,6,0.01,0,0.0,0,synthetic
PRJ-017,2024-10-14,21,1,24.3,6,7.0,3,5,0.024,0,0.014,0,synthetic
PRJ-017,2024-10-29,21,1,27.9,11,5.0,3,4,0.018,0,-0.006000000000000002,0,synthetic
PRJ-017,2024-11-13,21,1,23.3,7,5.0,5,5,0.025,0,0.007000000000000003,0,synthetic
PRJ-017,2024-11-28,21,1,,11,5.0,6,2,0.014,0,-0.011000000000000001,0,synthetic
PRJ-017,2024-12-13,21,1,52.6,2,9.0,7,4,0.049,0,0.035,0,synthetic
PRJ-017,2024-12-28,21,1,47.7,9,9.0,7,5,0.034,0,-0.015,0,synthetic
PRJ-017,2025-01-12,21,1,35.4,7,10.0,2,5,0.044,0,0.009999999999999995,0,synthetic
PRJ-017,2025-01-27,21,1,19.8,12,13.0,6,6,0.02,0,-0.023999999999999997,0,synthetic
PRJ-017,2025-02-11,21,1,58.3,4,13.0,4,3,0.01,0,-0.01,0,synthetic
PRJ-017,2025-02-26,21,1,36.8,4,7.0,6,2,0.01,0,0.0,0,synthetic
PRJ-017,2025-03-13,21,1,36.3,10,11.0,6,2,0.01,0,0.0,0,synthetic
PRJ-017,2025-03-28,21,1,69.8,3,7.0,5,5,0.023,0,0.013,0,synthetic
PRJ-017,2025-04-12,21,1,65.7,8,7.0,8,4,0.01,0,-0.013,0,synthetic
PRJ-017,2025-04-27,21,1,31.3,12,11.0,5,3,0.01,0,0.0,0,synthetic
PRJ-017,2025-05-12,21,1,22.2,10,13.0,2,3,0.01,0,0.0,0,synthetic
PRJ-017,2025-05-27,21,1,75.4,12,7.0,7,3,0.059,0,0.048999999999999995,0,synthetic
PRJ-017,2025-06-11,21,1,21.6,6,14.0,7,2,0.085,0,0.02600000000000001,0,synthetic
PRJ-017,2025-06-26,21,1,16.3,12,5.0,2,5,0.091,0,0.0059999999999999915,0,synthetic
